time_s,temp_F,heat_on,stage
0.0,181.8,1,pre
1.0,181.8,1,pre
2.0,180.1,1,pre
3.0,180.9,1,pre
4.0,181.4,1,pre
5.0,181.4,1,pre
6.0,184.1,1,pre
7.0,185.9,1,pre
8.0,187.7,1,pre
9.0,189.9,1,pre
10.0,193.1,1,pre
11.0,195.8,1,pre
12.0,200.3,1,pre
13.0,203.4,1,pre
14.0,207.5,1,pre
15.0,212.0,1,pre
16.0,215.6,1,pre
17.0,220.1,1,pre
18.0,225.1,1,pre
19.0,229.1,1,pre
20.0,232.7,1,pre
21.0,237.2,1,pre
22.0,241.2,1,pre
23.0,245.8,1,pre
24.0,248.4,1,pre
25.0,251.6,1,pre
26.0,253.4,1,pre
27.0,254.8,1,pre
28.0,256.1,1,pre
29.0,257.0,1,pre
30.0,257.9,1,pre
31.0,258.8,1,pre
32.0,259.7,1,pre
33.0,259.7,1,pre
34.0,261.1,1,pre
35.0,261.5,1,pre
36.0,263.3,1,pre
37.0,263.8,1,pre
38.0,265.1,1,pre
39.0,266.4,1,pre
40.0,266.0,1,pre
41.0,267.4,1,pre
42.0,267.4,1,pre
43.0,267.4,1,pre
44.0,267.8,1,pre
45.0,267.4,1,pre
46.0,268.2,1,pre
47.0,267.8,1,pre
48.0,268.7,1,pre
49.0,268.2,1,pre
50.0,268.7,1,pre
51.0,268.2,1,pre
52.0,268.2,1,pre
53.0,269.1,1,pre
54.0,269.1,1,pre
55.0,270.1,1,pre
56.0,270.1,1,pre
57.0,270.1,1,pre
58.0,270.5,1,pre
59.0,269.6,1,pre
60.0,269.1,1,pre
61.0,269.6,1,pre
62.0,269.1,1,pre
63.0,270.5,1,pre
64.0,270.1,1,pre
65.0,270.1,1,pre
66.0,270.1,1,pre
67.0,271.4,1,pre
68.0,270.9,1,pre
69.0,270.9,1,pre
70.0,269.6,1,pre
71.0,268.2,1,pre
72.0,268.7,1,pre
73.0,267.8,1,pre
74.0,268.2,1,pre
75.0,268.2,1,dry
76.0,268.2,1,dry
77.0,269.1,1,dry
78.0,271.4,1,dry
79.0,274.6,1,dry
80.0,279.1,1,dry
81.1,282.2,1,dry
82.1,287.1,1,dry
83.1,291.6,1,dry
84.1,294.8,1,dry
85.1,298.9,1,dry
86.1,303.4,1,dry
87.1,306.1,1,dry
88.1,310.6,1,dry
89.1,311.9,1,dry
90.1,315.1,1,dry
91.1,318.2,1,dry
92.1,321.8,1,dry
93.1,324.1,1,dry
94.1,326.3,1,dry
95.1,329.0,1,dry
96.1,331.7,1,dry
97.1,333.1,1,dry
98.1,335.3,1,dry
99.1,336.2,1,dry
100.1,339.4,1,dry
101.1,341.6,1,dry
102.1,342.9,1,dry
103.1,344.8,1,dry
104.1,347.0,1,dry
105.1,348.8,1,dry
106.1,350.6,1,dry
107.1,352.4,1,dry
108.1,354.6,1,dry
109.1,356.0,1,dry
110.1,358.2,1,dry
111.1,358.7,1,dry
112.1,361.9,1,dry
113.1,363.6,1,dry
114.1,364.6,1,dry
115.1,364.6,1,dry
116.1,366.8,1,dry
117.1,369.5,1,dry
118.1,369.9,1,dry
119.1,370.9,1,dry
121.1,373.6,1,dry
123.1,373.1,1,dry
125.1,369.1,1,dry
126.1,366.8,1,dry
127.1,364.6,1,dry
128.1,362.3,1,dry
129.1,360.9,1,dry
130.1,359.1,1,dry
131.1,358.7,1,dry
132.1,357.8,1,dry
133.1,358.7,1,dry
134.1,358.7,1,dry
135.1,359.6,1,dry
136.1,360.5,1,dry
137.1,362.3,1,dry
138.1,363.6,1,dry
139.1,365.4,1,dry
140.1,366.8,1,dry
141.1,368.6,1,dry
142.1,370.4,1,dry
144.1,373.1,1,dry
146.1,373.6,1,dry
148.1,370.4,1,dry
150.1,365.4,1,dry
151.1,363.2,1,dry
152.1,360.1,1,dry
153.1,358.2,1,dry
154.1,356.4,1,dry
155.1,355.1,1,dry
156.1,356.0,1,dry
157.1,355.6,1,dry
158.1,356.0,1,dry
159.1,357.4,1,dry
160.1,360.1,1,dry
161.1,361.4,1,dry
162.1,363.2,1,dry
163.1,365.9,1,dry
164.1,368.1,1,dry
165.1,369.5,1,dry
166.1,372.6,1,dry
168.1,375.8,1,dry
170.1,376.7,1,dry
172.1,375.4,1,dry
174.1,369.5,1,dry
175.1,367.7,1,dry
176.1,364.6,1,dry
177.1,362.3,1,dry
178.1,360.9,1,dry
179.1,360.1,1,dry
180.1,360.5,1,dry
