time_s,temp_F,heat_on,stage
0.0,210.2,1,pre
1.0,209.3,1,pre
2.0,208.4,1,pre
3.0,208.4,1,pre
4.0,208.4,1,pre
5.0,210.2,1,pre
6.0,213.8,1,pre
7.0,218.8,1,pre
8.0,224.2,1,pre
9.0,229.1,1,pre
10.0,237.2,1,pre
11.0,243.5,1,pre
12.0,250.2,1,pre
13.0,256.6,1,pre
14.0,262.9,1,pre
15.0,268.7,1,pre
16.0,275.0,1,pre
17.0,282.2,1,pre
18.0,288.1,1,pre
19.0,293.0,1,pre
20.0,297.1,1,pre
21.0,301.6,1,pre
22.0,305.1,1,pre
23.0,308.8,1,pre
24.0,312.4,1,pre
25.0,315.5,1,pre
26.0,319.1,1,pre
27.0,323.1,1,pre
28.0,326.3,1,pre
29.0,329.0,1,pre
30.0,332.1,1,pre
31.0,333.5,1,pre
32.0,337.1,1,pre
33.0,339.4,1,pre
34.0,341.6,1,pre
35.0,343.4,1,pre
36.0,344.3,1,dry
37.0,343.9,1,dry
38.0,342.5,1,dry
39.0,344.3,1,dry
40.0,346.1,1,dry
41.0,346.6,1,dry
42.0,347.0,1,dry
43.0,347.4,1,dry
44.0,349.2,1,dry
45.0,351.1,1,dry
46.0,353.3,1,dry
47.0,356.9,1,dry
48.0,359.1,1,dry
49.0,360.9,1,dry
50.0,364.6,1,dry
51.0,365.9,1,dry
52.0,368.6,1,dry
53.0,371.8,1,dry
55.0,374.4,1,dry
57.0,374.0,1,dry
59.0,368.6,1,dry
60.0,365.4,1,dry
61.0,362.8,1,dry
62.0,360.1,1,dry
63.0,359.6,1,dry
64.0,358.2,1,dry
65.0,359.6,1,dry
66.0,360.1,1,dry
67.0,361.4,1,dry
68.0,364.1,1,dry
69.0,365.9,1,dry
70.0,369.5,1,dry
71.0,371.8,1,dry
73.0,378.5,1,dry
75.0,378.9,1,dry
77.0,376.7,1,dry
79.0,371.8,1,dry
81.1,365.0,1,dry
82.1,362.8,1,dry
83.1,358.7,1,dry
84.1,357.8,1,dry
85.1,357.4,1,dry
86.1,357.8,1,dry
87.1,359.1,1,dry
88.1,360.5,1,dry
89.1,361.9,1,dry
90.1,365.9,1,dry
91.1,369.5,1,dry
92.1,372.2,1,dry
94.1,380.3,1,dry
96.1,383.0,1,dry
