time_s,temp_F,heat_on,stage
0.0,225.1,1,pre
1.0,225.9,1,pre
2.0,225.9,1,pre
3.0,224.2,1,pre
4.0,226.4,1,pre
5.0,229.1,1,pre
6.0,231.8,1,pre
7.0,234.1,1,pre
8.0,239.0,1,pre
9.0,242.2,1,pre
10.0,247.6,1,pre
11.0,251.6,1,pre
12.0,257.0,1,pre
13.0,263.3,1,pre
14.0,267.8,1,pre
15.0,273.6,1,pre
16.0,278.1,1,pre
17.0,284.4,1,pre
18.0,289.9,1,pre
19.0,293.9,1,pre
20.0,298.4,1,pre
21.0,303.8,1,pre
22.0,307.4,1,pre
23.0,312.4,1,pre
24.0,315.1,1,pre
25.0,318.6,1,pre
26.0,323.1,1,pre
27.0,326.8,1,pre
28.0,329.4,1,pre
29.0,331.2,1,pre
30.0,333.5,1,pre
31.0,336.6,1,pre
32.0,338.9,1,pre
33.0,340.7,1,dry
34.0,343.4,1,dry
35.0,347.0,1,dry
36.0,350.1,1,dry
37.0,353.8,1,dry
38.0,357.8,1,dry
39.0,360.9,1,dry
40.0,363.6,1,dry
41.0,366.4,1,dry
42.0,368.6,1,dry
43.0,370.9,1,dry
45.0,376.2,1,dry
47.0,377.6,1,dry
49.0,374.4,1,dry
51.0,370.4,1,dry
53.0,363.6,1,dry
54.0,360.5,1,dry
55.0,357.8,1,dry
56.0,355.6,1,dry
57.0,355.1,1,dry
58.0,355.1,1,dry
59.0,355.1,1,dry
60.0,355.6,1,dry
61.0,357.4,1,dry
62.0,359.6,1,dry
63.0,362.3,1,dry
64.0,365.4,1,dry
65.0,367.2,1,dry
66.0,371.3,1,dry
68.0,377.1,1,dry
70.0,380.3,1,dry
72.0,380.8,1,dry
74.0,376.7,1,dry
76.0,370.9,1,dry
78.0,365.9,1,dry
79.0,364.1,1,dry
80.0,360.9,1,dry
81.0,360.5,1,dry
82.0,360.9,1,dry
83.0,361.4,1,dry
84.1,362.3,1,dry
85.1,365.4,1,dry
86.1,367.2,1,dry
87.1,371.3,1,dry
89.1,377.1,1,dry
91.1,380.8,1,dry
93.1,381.2,1,dry
95.1,378.5,1,dry
97.1,374.9,1,dry
99.1,369.5,1,dry
100.1,367.2,1,dry
101.1,365.0,1,dry
102.1,364.6,1,dry
103.1,365.0,1,dry
104.1,365.4,1,dry
105.1,366.8,1,dry
106.1,369.5,1,dry
107.1,373.1,1,dry
109.1,378.5,1,dry
111.1,383.0,1,dry
113.1,383.0,1,dry
115.1,380.8,1,dry
117.1,377.1,1,dry
119.1,372.2,1,dry
121.1,367.2,1,dry
122.1,364.1,1,dry
123.1,362.8,1,dry
124.1,362.3,1,dry
125.1,362.8,1,dry
126.1,363.6,1,dry
127.1,365.9,1,dry
128.1,368.1,1,dry
129.1,369.9,1,dry
130.1,374.9,1,dry
132.1,382.1,1,dry
134.1,386.6,1,dry
136.1,387.9,1,dry
138.1,385.2,1,dry
140.1,382.6,1,dry
142.1,377.1,1,dry
144.1,371.8,1,dry
146.1,366.4,1,dry
147.1,365.0,1,dry
148.1,363.6,1,dry
149.1,361.9,1,dry
150.1,363.2,1,dry
151.1,364.6,1,dry
152.1,366.8,1,dry
153.1,369.5,1,dry
154.1,372.6,1,dry
156.1,380.3,1,dry
158.1,385.2,1,dry
160.1,385.7,1,dry
162.1,383.9,1,dry
164.1,378.1,1,dry
166.1,375.8,1,dry
168.1,370.9,1,dry
170.1,365.4,1,dry
171.1,364.1,1,dry
172.1,362.8,1,dry
173.1,362.3,1,dry
174.1,362.3,1,dry
175.1,364.1,1,dry
176.1,365.9,1,dry
177.1,369.5,1,dry
178.1,373.1,1,dry
180.1,379.4,1,dry
182.1,384.4,1,dry
184.1,386.1,1,dry
186.1,384.4,1,dry
188.1,381.2,1,brown
189.1,378.5,1,brown
190.1,376.7,1,brown
191.1,377.1,1,brown
192.1,377.1,1,brown
193.1,376.7,1,brown
194.1,380.3,1,brown
195.1,382.6,1,brown
196.1,385.2,1,brown
197.1,389.8,1,brown
198.1,392.9,1,brown
199.1,396.9,1,brown
200.1,400.6,1,brown
202.1,408.2,1,brown
204.1,411.4,1,brown
206.1,410.0,1,brown
208.1,405.9,1,brown
210.1,401.4,1,brown
212.1,395.6,1,brown
213.1,392.0,1,brown
214.1,389.8,1,brown
215.1,389.3,1,brown
216.1,387.9,1,brown
217.1,389.3,1,brown
218.1,390.2,1,brown
219.1,392.4,1,brown
220.1,394.7,1,brown
221.1,397.4,1,brown
222.1,401.4,1,brown
224.1,408.2,1,brown
226.1,411.4,1,brown
228.1,410.9,1,brown
230.1,407.3,1,brown
232.1,402.4,1,brown
234.1,395.6,1,brown
235.1,392.9,1,brown
236.1,391.1,1,brown
237.1,388.9,1,brown
238.1,388.9,1,brown
239.1,389.8,1,brown
240.1,390.6,1,brown
241.1,392.9,1,brown
242.1,395.6,1,brown
243.1,398.8,1,brown
244.1,402.4,1,brown
246.1,409.1,1,brown
248.1,412.2,1,brown
250.1,411.4,1,brown
252.1,408.2,1,brown
254.1,402.4,1,brown
256.1,396.9,1,brown
257.1,394.7,1,brown
258.1,392.4,1,brown
259.1,391.1,1,brown
260.1,391.6,1,brown
261.1,390.6,1,brown
262.1,392.0,1,brown
263.1,395.6,1,brown
264.1,398.3,1,brown
265.1,401.4,1,brown
267.1,409.1,1,brown
269.1,412.2,1,brown
271.1,412.2,1,brown
273.1,407.8,1,brown
275.1,403.2,1,brown
277.1,397.4,1,brown
278.1,395.1,1,brown
279.1,393.8,1,brown
280.1,391.6,1,brown
281.1,391.6,1,brown
282.1,392.0,1,brown
283.1,393.4,1,brown
284.1,396.1,1,brown
285.1,399.6,1,brown
286.2,403.2,1,brown
288.2,410.0,1,brown
290.2,412.7,1,brown
292.2,413.1,1,brown
294.2,410.0,1,brown
296.2,405.1,1,brown
298.2,398.3,1,brown
299.2,395.6,1,brown
300.2,394.2,1,brown
301.2,392.9,1,brown
302.2,392.9,1,brown
303.2,393.4,1,brown
304.2,395.1,1,brown
305.2,397.4,1,brown
306.2,400.1,1,brown
308.2,406.9,1,brown
310.2,410.0,1,brown
312.2,409.1,1,brown
314.2,406.4,1,brown
316.2,401.9,1,brown
318.2,396.5,1,brown
319.2,394.2,1,brown
320.2,392.0,1,brown
321.2,391.1,1,brown
322.2,390.2,1,brown
323.2,391.1,1,brown
324.2,392.9,1,brown
325.2,394.7,1,brown
326.2,399.2,1,brown
327.2,401.9,1,brown
329.2,409.1,1,brown
331.2,413.1,1,brown
333.2,412.7,1,brown
335.2,410.0,1,brown
337.2,404.6,1,brown
339.2,399.2,1,brown
340.2,396.5,1,brown
341.2,394.7,1,brown
342.2,393.8,1,brown
343.2,393.4,1,brown
344.2,393.8,1,brown
345.2,395.6,1,brown
346.2,397.9,1,brown
347.2,400.6,1,dev
348.2,404.6,1,dev
349.2,407.3,1,dev
350.2,412.2,1,dev
351.2,415.9,1,dev
