time_s,temp_F,heat_on,stage
0.0,144.1,1,pre
1.0,144.9,1,pre
2.0,146.8,1,pre
3.0,149.9,1,pre
4.0,154.4,1,pre
5.0,159.3,1,pre
6.0,167.4,1,pre
7.0,175.6,1,pre
8.0,184.1,1,pre
9.0,192.7,1,pre
10.0,203.9,1,pre
11.0,213.3,1,pre
12.0,223.7,1,pre
13.0,235.4,1,pre
14.0,246.2,1,pre
15.0,258.4,1,pre
16.0,269.1,1,pre
17.0,279.5,1,pre
18.0,288.1,1,pre
19.0,295.7,1,pre
20.0,301.6,1,pre
21.0,308.8,1,pre
22.0,314.6,1,pre
23.0,320.4,1,pre
24.0,325.4,1,pre
25.0,329.4,1,pre
26.0,333.9,1,pre
27.0,338.0,1,pre
28.0,340.2,1,pre
29.0,343.9,1,pre
30.0,347.0,1,pre
31.0,350.1,1,pre
32.0,351.9,1,pre
33.0,353.8,1,pre
34.0,355.1,1,pre
35.0,356.0,1,pre
36.0,358.2,1,pre
37.0,359.1,1,pre
38.0,362.3,1,pre
40.0,365.9,1,dry
41.0,365.9,1,dry
42.0,364.6,1,dry
43.0,363.6,1,dry
44.0,361.4,1,dry
45.0,359.1,1,dry
46.0,358.2,1,dry
47.0,356.4,1,dry
48.0,355.6,1,dry
49.0,355.6,1,dry
50.0,356.9,1,dry
51.0,356.4,1,dry
52.0,357.8,1,dry
53.0,359.6,1,dry
54.0,360.9,1,dry
55.0,361.4,1,dry
56.0,363.2,1,dry
57.0,364.1,1,dry
58.0,366.4,1,dry
59.0,366.8,1,dry
60.0,367.2,1,dry
61.0,369.1,1,dry
62.0,370.9,1,dry
64.0,372.2,1,dry
66.0,371.8,1,dry
68.0,367.2,1,dry
69.0,364.6,1,dry
70.0,361.9,1,dry
71.0,359.1,1,dry
72.0,358.2,1,dry
73.0,357.4,1,dry
74.1,357.4,1,dry
75.1,357.8,1,dry
76.1,359.1,1,dry
77.1,360.5,1,dry
78.1,362.3,1,dry
79.1,364.1,1,dry
80.1,367.2,1,dry
81.1,370.4,1,dry
83.1,374.9,1,dry
85.1,375.4,1,dry
87.1,373.6,1,dry
89.1,368.6,1,dry
90.1,365.4,1,dry
91.1,363.6,1,dry
92.1,361.4,1,dry
93.1,359.6,1,dry
94.1,360.5,1,dry
95.1,362.3,1,dry
96.1,364.1,1,dry
97.1,365.9,1,dry
98.1,367.2,1,dry
99.1,369.5,1,dry
100.1,372.6,1,dry
102.1,377.1,1,dry
104.1,379.9,1,dry
106.1,378.1,1,dry
108.1,374.9,1,dry
110.1,369.5,1,dry
111.1,366.8,1,dry
112.1,364.6,1,dry
113.1,363.6,1,dry
114.1,363.2,1,dry
115.1,363.6,1,dry
116.1,365.0,1,dry
117.1,365.9,1,dry
118.1,367.7,1,dry
119.1,369.9,1,dry
120.1,372.6,1,dry
122.1,378.1,1,dry
124.1,380.8,1,dry
126.1,379.9,1,dry
128.1,376.2,1,dry
130.1,370.4,1,dry
132.1,364.6,1,dry
133.1,361.9,1,dry
134.1,359.1,1,dry
135.1,357.8,1,dry
136.1,358.2,1,dry
137.1,359.6,1,dry
138.1,360.1,1,dry
139.1,362.8,1,dry
140.1,365.9,1,dry
141.1,369.5,1,dry
142.1,372.6,1,dry
144.1,378.9,1,dry
146.1,382.1,1,dry
