time_s,temp_F,heat_on,stage
0.0,221.0,1,pre
1.0,218.8,1,pre
2.0,219.2,1,pre
3.0,217.8,1,pre
4.0,217.4,1,pre
5.0,216.9,1,pre
6.0,216.5,1,pre
7.0,216.5,1,pre
8.0,217.4,1,pre
9.0,218.8,1,pre
10.0,222.3,1,pre
11.0,225.1,1,pre
12.0,229.1,1,pre
13.0,233.2,1,pre
14.0,238.6,1,pre
15.0,242.6,1,pre
16.0,246.2,1,pre
17.0,249.8,1,pre
18.0,253.8,1,pre
19.0,258.8,1,pre
20.0,262.9,1,pre
21.0,268.2,1,pre
22.0,271.9,1,pre
23.0,277.7,1,pre
24.0,281.3,1,pre
25.0,284.4,1,pre
26.0,287.6,1,pre
27.0,289.9,1,pre
28.0,291.6,1,pre
29.0,293.9,1,pre
30.0,296.1,1,pre
31.0,297.9,1,pre
32.0,299.3,1,pre
33.0,302.0,1,pre
34.0,302.9,1,pre
35.0,303.8,1,pre
36.0,306.1,1,pre
37.0,306.1,1,pre
38.0,309.2,1,pre
39.0,310.6,1,pre
40.0,312.8,1,pre
41.0,314.1,1,pre
42.0,315.5,1,pre
43.0,316.4,1,pre
44.0,317.8,1,pre
45.0,318.6,1,pre
46.0,320.4,1,pre
47.0,320.4,1,pre
48.0,322.2,1,pre
49.0,322.2,1,pre
50.0,321.8,1,pre
51.0,322.2,1,pre
52.0,321.4,1,pre
53.0,321.8,1,pre
54.0,320.9,1,pre
55.0,320.4,1,pre
56.0,319.6,1,pre
57.0,318.6,1,pre
58.0,318.2,1,pre
59.0,316.4,1,pre
60.1,316.9,1,pre
61.1,315.5,1,pre
62.1,313.7,1,pre
63.1,312.8,1,pre
64.1,312.4,1,pre
65.1,311.0,1,pre
66.1,311.4,1,pre
67.1,311.0,1,pre
68.1,311.4,1,dry
69.1,310.6,1,dry
70.1,309.6,1,dry
71.1,310.1,1,dry
72.1,311.4,1,dry
73.1,312.4,1,dry
74.1,314.6,1,dry
75.1,317.3,1,dry
76.1,319.1,1,dry
77.1,320.9,1,dry
78.1,322.2,1,dry
79.1,322.7,1,dry
80.1,323.1,1,dry
81.1,323.1,1,dry
82.1,321.8,1,dry
83.1,324.1,1,dry
84.1,324.5,1,dry
85.1,324.5,1,dry
86.1,326.3,1,dry
87.1,327.2,1,dry
