time_s,temp_F,heat_on,stage
0.0,68.0,1,pre
1.0,68.5,1,pre
2.0,70.2,1,pre
3.0,74.8,1,pre
4.0,79.7,1,pre
5.0,86.5,1,pre
6.0,93.2,1,pre
7.0,100.0,1,pre
8.0,109.4,1,pre
9.0,119.3,1,pre
10.0,128.3,1,pre
11.0,140.4,1,pre
12.0,150.3,1,pre
13.0,159.3,1,pre
14.0,170.2,1,pre
15.0,179.6,1,pre
16.0,189.5,1,pre
17.0,198.1,1,pre
18.0,207.1,1,pre
19.0,215.2,1,pre
20.0,222.8,1,pre
21.0,231.3,1,pre
22.0,238.6,1,pre
23.0,245.3,1,pre
24.0,251.2,1,pre
25.0,255.7,1,pre
26.0,261.9,1,pre
27.0,266.9,1,pre
28.0,272.8,1,pre
29.0,275.9,1,pre
30.0,280.9,1,pre
31.0,284.4,1,pre
32.0,287.1,1,pre
33.0,289.9,1,pre
34.0,292.6,1,pre
35.0,294.4,1,pre
36.0,295.7,1,pre
37.0,296.1,1,pre
38.0,297.5,1,pre
39.0,298.9,1,pre
40.0,300.2,1,pre
41.0,301.6,1,pre
42.0,302.0,1,pre
43.0,302.4,1,pre
44.0,303.8,1,pre
45.0,303.8,1,pre
46.0,305.1,1,pre
47.0,306.5,1,pre
48.0,308.3,1,pre
49.0,309.6,1,dry
50.0,310.6,1,dry
51.0,311.0,1,dry
52.0,311.9,1,dry
53.0,311.9,1,dry
54.0,311.9,1,dry
55.0,311.9,1,dry
56.0,311.9,1,dry
57.0,311.9,1,dry
58.0,315.1,1,dry
59.0,319.1,1,dry
60.0,322.7,1,dry
61.0,325.4,1,dry
62.0,329.4,1,dry
63.0,332.6,1,dry
64.0,336.2,1,dry
65.0,340.7,1,dry
66.0,342.9,1,dry
67.0,345.6,1,dry
68.0,347.4,1,dry
69.0,351.1,1,dry
70.0,351.5,1,dry
71.0,352.9,1,dry
72.0,356.0,1,dry
73.0,356.4,1,dry
74.0,357.4,1,dry
75.0,357.8,1,dry
76.0,359.6,1,dry
77.0,361.9,1,dry
78.1,363.2,1,dry
