time_s,temp_F,heat_on,stage
0.0,150.3,1,pre
1.0,150.3,1,pre
2.0,153.1,1,pre
3.0,156.2,1,pre
4.0,160.2,1,pre
5.0,165.7,1,pre
6.0,171.5,1,pre
7.0,180.1,1,pre
8.0,188.2,1,pre
9.0,197.6,1,pre
10.0,206.6,1,pre
11.0,215.2,1,pre
12.0,224.6,1,pre
13.0,234.1,1,pre
14.0,241.7,1,pre
15.0,249.3,1,pre
16.0,255.2,1,pre
17.0,261.1,1,pre
18.0,267.8,1,pre
19.0,272.3,1,pre
20.0,278.1,1,pre
21.0,284.0,1,pre
22.0,288.1,1,pre
23.0,292.6,1,pre
24.0,296.1,1,pre
25.0,301.1,1,pre
26.0,305.6,1,pre
27.0,307.9,1,pre
28.0,312.4,1,pre
29.0,314.6,1,pre
30.0,315.1,1,pre
31.0,317.3,1,pre
32.0,318.2,1,pre
33.0,317.3,1,pre
34.0,320.0,1,pre
35.0,321.4,1,pre
36.0,321.8,1,pre
37.0,323.1,1,pre
38.0,323.1,1,pre
39.0,324.1,1,pre
40.0,323.6,1,pre
41.0,324.9,1,pre
42.0,324.9,1,pre
43.0,324.9,1,pre
44.0,325.4,1,pre
45.0,325.9,1,pre
46.0,325.4,1,pre
47.0,325.4,1,pre
48.0,324.1,1,pre
49.0,324.9,1,pre
50.0,324.9,1,pre
51.0,324.9,1,pre
52.0,324.9,1,pre
53.0,324.9,1,pre
54.0,324.1,1,dry
55.0,324.5,1,dry
56.0,324.9,1,dry
57.0,325.9,1,dry
58.0,328.6,1,dry
59.0,331.2,1,dry
60.0,333.9,1,dry
61.0,337.6,1,dry
62.0,340.7,1,dry
63.0,343.4,1,dry
64.0,346.6,1,dry
65.0,349.2,1,dry
66.0,352.4,1,dry
67.0,355.6,1,dry
68.0,358.2,1,dry
69.0,359.1,1,dry
70.0,359.1,1,dry
71.0,360.5,1,dry
72.0,360.9,1,dry
73.0,361.4,1,dry
74.0,361.4,1,dry
75.0,364.1,1,dry
76.0,365.9,1,dry
77.0,366.8,1,dry
78.0,369.1,1,dry
79.0,370.4,1,dry
81.0,373.1,1,dry
83.1,372.2,1,dry
85.1,367.7,1,dry
86.1,365.9,1,dry
87.1,362.8,1,dry
88.1,360.5,1,dry
89.1,359.6,1,dry
90.1,358.7,1,dry
91.1,357.8,1,dry
92.1,355.6,1,dry
93.1,356.0,1,dry
94.1,356.9,1,dry
95.1,358.2,1,dry
96.1,359.6,1,dry
97.1,360.9,1,dry
98.1,362.8,1,dry
99.1,365.4,1,dry
100.1,368.6,1,dry
101.1,371.3,1,dry
103.1,375.8,1,dry
105.1,377.1,1,dry
107.1,375.4,1,dry
109.1,369.5,1,dry
110.1,366.8,1,dry
111.1,363.6,1,dry
112.1,360.1,1,dry
113.1,360.9,1,dry
114.1,360.9,1,dry
115.1,360.9,1,dry
116.1,362.8,1,dry
117.1,365.0,1,dry
118.1,366.8,1,dry
119.1,369.1,1,dry
120.1,372.2,1,dry
122.1,375.8,1,dry
124.1,376.7,1,dry
126.1,374.4,1,dry
128.1,369.1,1,dry
129.1,367.2,1,dry
130.1,363.2,1,dry
131.1,363.2,1,dry
132.1,363.2,1,dry
133.1,363.2,1,dry
134.1,365.4,1,dry
135.1,367.2,1,dry
136.1,368.6,1,dry
137.1,371.8,1,dry
139.1,376.2,1,dry
141.1,376.7,1,dry
143.1,374.4,1,dry
145.1,369.1,1,dry
146.1,367.2,1,dry
147.1,364.6,1,dry
148.1,362.8,1,dry
149.1,362.8,1,dry
150.1,362.8,1,dry
151.1,364.6,1,dry
152.1,365.9,1,dry
153.1,367.2,1,dry
154.1,370.9,1,dry
156.1,375.4,1,dry
158.1,376.2,1,dry
160.1,374.0,1,dry
162.1,370.4,1,dry
164.1,366.4,1,dry
165.1,362.3,1,dry
166.1,360.9,1,dry
167.1,358.7,1,dry
168.1,357.8,1,dry
169.1,359.6,1,dry
170.1,360.5,1,dry
171.1,362.3,1,dry
172.1,364.6,1,dry
173.1,367.7,1,dry
174.1,370.4,1,dry
176.1,377.1,1,dry
178.1,378.1,1,dry
180.1,377.6,1,dry
182.1,373.6,1,dry
184.1,366.4,1,dry
185.1,365.9,1,dry
186.1,363.6,1,dry
187.1,361.9,1,dry
188.1,361.9,1,dry
189.1,362.3,1,dry
190.1,364.1,1,dry
191.1,365.4,1,dry
192.1,367.7,1,dry
193.1,372.2,1,dry
195.1,376.2,1,dry
197.1,378.5,1,dry
199.1,378.9,1,brown
200.1,376.7,1,brown
201.1,374.9,1,brown
202.1,374.4,1,brown
203.1,374.9,1,brown
204.1,374.0,1,brown
205.1,376.7,1,brown
206.1,378.9,1,brown
207.1,380.8,1,brown
208.1,383.0,1,brown
209.1,386.1,1,brown
210.1,389.3,1,brown
211.1,392.0,1,brown
212.1,395.1,1,brown
213.1,396.9,1,brown
214.1,400.1,1,brown
216.1,405.5,1,brown
218.1,405.5,1,brown
220.1,402.4,1,brown
222.1,395.6,1,brown
223.1,392.0,1,brown
224.1,388.9,1,brown
225.1,386.6,1,brown
226.1,385.7,1,brown
227.1,384.4,1,brown
228.1,384.4,1,brown
229.1,385.7,1,brown
230.1,387.5,1,brown
231.1,388.9,1,brown
232.1,391.1,1,brown
233.1,392.9,1,brown
234.1,396.5,1,brown
235.1,399.2,1,brown
236.1,400.6,1,brown
238.1,406.9,1,brown
240.1,405.5,1,brown
242.1,401.4,1,brown
244.1,395.6,1,brown
245.1,392.9,1,brown
246.1,390.2,1,brown
247.1,387.5,1,brown
248.1,387.5,1,brown
249.1,387.5,1,brown
250.1,388.9,1,brown
251.1,389.8,1,brown
252.1,390.2,1,brown
253.1,393.4,1,brown
254.1,396.1,1,brown
255.1,397.9,1,brown
256.1,400.6,1,brown
258.1,405.5,1,brown
260.1,405.5,1,brown
262.1,402.4,1,brown
264.1,396.1,1,brown
265.1,392.9,1,brown
266.2,390.2,1,brown
267.2,387.9,1,brown
268.2,387.5,1,brown
269.2,387.9,1,brown
270.2,387.9,1,brown
271.2,388.9,1,brown
272.2,391.1,1,brown
273.2,393.4,1,brown
274.2,396.1,1,brown
275.2,399.2,1,brown
276.2,401.4,1,brown
278.2,405.9,1,brown
280.2,406.9,1,brown
282.2,402.4,1,brown
284.2,396.9,1,brown
285.2,394.7,1,brown
286.2,390.2,1,brown
287.2,389.3,1,brown
288.2,388.4,1,brown
289.2,387.9,1,brown
290.2,389.3,1,brown
291.2,390.2,1,brown
292.2,391.1,1,brown
293.2,394.2,1,brown
294.2,396.9,1,brown
295.2,398.8,1,brown
296.2,401.9,1,brown
298.2,406.4,1,brown
300.2,406.9,1,brown
302.2,402.8,1,brown
304.2,397.4,1,brown
305.2,395.1,1,brown
306.2,392.4,1,brown
307.2,390.6,1,brown
308.2,389.8,1,brown
309.2,389.8,1,brown
310.2,391.1,1,brown
311.2,392.0,1,brown
312.2,392.9,1,brown
313.2,396.5,1,brown
314.2,399.2,1,brown
315.2,401.4,1,brown
317.2,405.5,1,brown
319.2,406.9,1,brown
321.2,402.8,1,brown
323.2,399.2,1,brown
324.2,396.1,1,brown
325.2,392.9,1,brown
326.2,392.0,1,brown
327.2,390.6,1,brown
328.2,391.1,1,brown
329.2,391.1,1,brown
330.2,393.8,1,brown
331.2,394.7,1,brown
332.2,396.9,1,brown
333.2,401.0,1,brown
335.2,404.1,1,brown
337.2,404.1,1,brown
339.2,403.7,1,brown
341.2,398.8,1,brown
342.2,396.9,1,brown
343.2,394.7,1,brown
344.2,393.4,1,brown
345.2,392.9,1,brown
346.2,393.4,1,brown
347.2,394.7,1,brown
348.2,396.9,1,brown
349.2,397.4,1,brown
350.2,400.1,1,brown
352.2,403.7,1,brown
354.2,404.1,1,brown
356.2,402.4,1,brown
358.2,396.5,1,brown
359.2,394.2,1,dev
360.2,391.6,1,dev
361.2,389.8,1,dev
362.2,389.3,1,dev
363.2,389.3,1,dev
364.2,390.6,1,dev
365.2,391.6,1,dev
366.2,393.4,1,dev
367.2,395.1,1,dev
368.2,399.2,1,dev
369.2,401.0,1,dev
370.2,404.1,1,dev
371.2,406.9,1,dev
372.2,410.0,1,dev
373.2,412.2,1,dev
374.2,415.4,1,dev
375.2,418.1,1,dev
376.2,420.4,1,dev
377.2,422.6,1,dev
378.2,424.9,1,dev
379.2,427.1,1,dev
380.2,429.4,1,dev
381.2,431.1,1,dev
382.2,433.9,1,dev
383.2,436.1,1,dev
384.2,437.4,1,dev
385.2,437.9,1,dev
386.2,439.7,1,dev
387.2,440.6,1,dev
389.2,442.4,1,dev
391.2,439.7,1,dev
392.2,436.6,1,dev
393.2,436.1,1,dev
394.2,432.9,1,dev
395.2,431.6,1,dev
396.2,430.7,1,dev
397.2,429.8,1,dev
398.2,429.8,1,dev
399.2,429.8,1,dev
400.2,431.1,1,dev
401.2,432.5,1,dev
402.2,433.4,1,dev
403.2,434.8,1,dev
404.2,435.6,1,dev
405.2,437.4,1,dev
406.2,437.9,1,dev
407.2,439.7,1,dev
408.2,442.4,1,dev
410.2,443.8,1,dev
412.2,441.1,1,dev
414.2,434.3,1,dev
415.2,432.5,1,dev
416.2,428.9,1,dev
417.2,425.8,1,dev
418.2,423.9,1,dev
419.2,423.5,1,dev
420.2,421.7,1,dev
421.2,422.6,1,dev
422.2,423.5,1,dev
423.2,424.9,1,dev
424.2,424.9,1,dev
425.2,426.2,1,dev
426.2,428.9,1,dev
427.2,431.1,1,dev
428.2,432.1,1,dev
429.2,433.9,1,dev
430.2,435.6,1,dev
431.2,437.9,1,dev
432.2,439.2,1,dev
433.2,441.1,1,dev
