time_s,temp_F,heat_on,stage
0.0,113.9,1,pre
1.0,117.0,1,pre
2.0,117.5,1,pre
3.0,121.1,1,pre
4.0,125.2,1,pre
5.0,131.0,1,pre
6.0,136.8,1,pre
7.0,144.5,1,pre
8.0,153.9,1,pre
9.0,162.9,1,pre
10.0,172.4,1,pre
11.0,183.2,1,pre
12.0,194.0,1,pre
13.0,202.6,1,pre
14.0,211.1,1,pre
15.0,218.8,1,pre
16.0,226.8,1,pre
17.0,234.1,1,pre
18.0,242.2,1,pre
19.0,248.4,1,pre
20.0,255.2,1,pre
21.0,261.9,1,pre
22.0,267.4,1,pre
23.0,270.9,1,pre
24.0,276.4,1,pre
25.0,280.9,1,pre
26.0,285.4,1,pre
27.0,289.4,1,pre
28.0,293.9,1,pre
29.0,297.1,1,pre
30.0,299.3,1,pre
31.0,303.8,1,pre
32.0,307.9,1,pre
33.0,310.6,1,pre
34.0,313.2,1,pre
35.0,316.4,1,pre
36.0,320.0,1,pre
37.0,321.8,1,pre
38.0,325.4,1,pre
39.0,326.8,1,pre
40.0,328.1,1,pre
41.0,329.4,1,pre
42.0,330.8,1,pre
43.0,331.2,1,pre
44.0,333.1,1,pre
45.0,333.5,1,pre
46.0,334.9,1,pre
47.0,336.2,1,pre
48.0,338.0,1,pre
49.0,338.4,1,dry
50.0,338.4,1,dry
51.0,338.4,1,dry
52.0,339.8,1,dry
53.0,340.2,1,dry
54.0,340.7,1,dry
55.0,341.1,1,dry
56.0,341.1,1,dry
57.0,343.4,1,dry
58.0,344.8,1,dry
59.0,346.1,1,dry
60.0,347.4,1,dry
61.0,349.2,1,dry
62.0,350.6,1,dry
63.0,351.5,1,dry
64.0,353.8,1,dry
65.0,356.4,1,dry
66.1,358.2,1,dry
67.1,360.9,1,dry
68.1,365.0,1,dry
69.1,367.2,1,dry
70.1,369.9,1,dry
71.1,371.8,1,dry
73.1,377.1,1,dry
75.1,376.2,1,dry
77.1,372.6,1,dry
79.1,365.0,1,dry
80.1,362.8,1,dry
81.1,359.1,1,dry
82.1,357.4,1,dry
83.1,355.1,1,dry
84.1,354.2,1,dry
85.1,354.6,1,dry
86.1,354.2,1,dry
87.1,356.4,1,dry
88.1,359.6,1,dry
89.1,361.9,1,dry
90.1,364.1,1,dry
91.1,369.1,1,dry
92.1,370.9,1,dry
94.1,377.6,1,dry
96.1,378.5,1,dry
98.1,376.2,1,dry
100.1,370.9,1,dry
102.1,364.1,1,dry
103.1,360.5,1,dry
104.1,358.7,1,dry
105.1,356.9,1,dry
106.1,356.9,1,dry
107.1,356.9,1,dry
108.1,357.4,1,dry
109.1,360.1,1,dry
110.1,362.8,1,dry
111.1,365.0,1,dry
112.1,367.7,1,dry
113.1,370.9,1,dry
115.1,377.6,1,dry
117.1,380.3,1,dry
119.1,379.4,1,dry
121.1,374.9,1,dry
123.1,370.9,1,dry
125.1,364.6,1,dry
126.1,360.9,1,dry
127.1,359.1,1,dry
128.1,358.2,1,dry
129.1,357.8,1,dry
130.1,359.1,1,dry
131.1,359.1,1,dry
132.1,361.9,1,dry
133.1,365.4,1,dry
134.1,368.6,1,dry
135.1,372.2,1,dry
137.1,378.1,1,dry
139.1,381.6,1,dry
141.1,380.8,1,dry
143.1,377.1,1,dry
145.1,373.1,1,dry
147.1,367.2,1,dry
148.1,363.2,1,dry
