time_s,temp_F,heat_on,stage
0.0,137.8,1,pre
1.0,140.4,1,pre
2.0,142.2,1,pre
3.0,143.6,1,pre
4.0,147.7,1,pre
5.0,153.5,1,pre
6.0,160.2,1,pre
7.0,168.3,1,pre
8.0,175.6,1,pre
9.0,185.4,1,pre
10.0,195.3,1,pre
11.0,203.9,1,pre
12.0,213.8,1,pre
13.0,221.9,1,pre
14.0,230.0,1,pre
15.0,237.7,1,pre
16.0,244.4,1,pre
17.0,249.8,1,pre
18.0,255.7,1,pre
19.0,259.7,1,pre
20.0,263.3,1,pre
21.0,267.4,1,pre
22.0,271.4,1,pre
23.0,275.0,1,pre
24.0,278.6,1,pre
25.0,281.8,1,pre
26.0,286.2,1,pre
27.0,288.5,1,pre
28.0,291.6,1,pre
29.0,293.9,1,pre
30.0,297.5,1,pre
31.0,298.9,1,pre
32.0,299.8,1,pre
33.0,301.1,1,pre
34.0,302.9,1,pre
35.0,303.4,1,pre
36.0,305.1,1,pre
37.0,306.5,1,pre
38.0,307.9,1,pre
39.0,308.8,1,pre
40.0,311.0,1,pre
41.0,313.2,1,pre
42.0,314.6,1,pre
43.0,316.9,1,pre
44.0,317.3,1,pre
45.0,319.6,1,pre
46.0,322.2,1,pre
47.0,322.2,1,pre
48.0,324.1,1,pre
49.0,324.9,1,pre
50.0,328.1,1,pre
51.0,329.0,1,pre
52.0,332.1,1,pre
53.0,333.9,1,pre
54.0,335.8,1,pre
55.0,336.2,1,pre
56.0,337.6,1,pre
57.0,338.4,1,pre
58.0,340.2,1,pre
59.0,341.1,1,pre
60.0,342.9,1,pre
61.0,344.3,1,pre
62.0,346.6,1,pre
63.0,346.1,1,pre
64.0,345.6,1,pre
65.0,344.8,1,pre
66.0,343.9,1,pre
67.0,342.1,1,pre
68.0,340.2,1,pre
69.0,339.8,1,pre
70.0,339.4,1,pre
71.0,341.1,1,brown
72.0,342.1,1,brown
73.0,345.2,1,brown
74.0,345.2,1,brown
75.0,347.0,1,brown
76.0,347.0,1,brown
77.0,346.1,1,dry
78.0,346.6,1,dry
79.0,346.1,1,dry
80.0,345.6,1,dry
81.0,344.3,1,dry
82.0,343.4,1,dry
83.0,342.5,1,dry
84.0,341.6,1,dry
85.0,340.7,1,dry
86.0,340.2,1,dry
87.0,338.9,1,dry
88.1,338.0,1,dry
89.1,337.1,1,dry
90.1,335.3,1,dry
91.1,334.4,1,dry
92.1,333.5,1,dry
93.1,333.1,1,dry
94.1,332.1,1,dry
95.1,332.1,1,dry
96.1,329.9,1,dry
97.1,331.7,1,dry
98.1,333.9,1,dry
99.1,335.8,1,dry
100.1,341.6,1,dry
101.1,345.6,1,dry
102.1,349.7,1,dry
103.1,355.6,1,dry
104.1,360.9,1,dry
105.1,366.8,1,dry
106.1,370.4,1,dry
107.1,374.0,1,dry
108.1,376.7,1,dry
109.1,378.5,1,dry
110.1,379.4,1,dry
111.1,381.2,0,dry
112.1,379.9,0,dry
113.1,379.9,0,dry
114.1,376.7,0,dry
115.1,372.2,0,dry
116.1,367.7,0,dry
117.1,361.4,0,dry
118.1,352.9,1,dry
119.1,345.6,1,dry
120.1,338.0,1,dry
121.1,329.0,1,dry
122.1,324.5,1,dry
123.1,320.9,1,dry
124.1,318.6,1,dry
125.1,316.9,1,dry
126.1,316.9,1,dry
127.1,318.2,1,dry
128.1,319.1,1,dry
129.1,321.8,1,dry
130.1,325.4,1,dry
131.1,330.4,1,dry
132.1,332.1,1,dry
133.1,337.6,1,dry
134.1,339.8,1,dry
135.1,343.4,1,dry
136.1,348.4,1,dry
137.1,352.4,1,dry
138.1,358.2,1,dry
139.1,361.9,1,dry
140.1,365.0,1,dry
141.1,367.7,1,dry
142.1,369.5,1,dry
143.1,372.6,1,dry
144.1,374.0,1,dry
145.1,377.6,1,dry
146.1,379.9,1,dry
147.1,383.4,0,dry
148.1,385.2,0,dry
149.1,387.9,0,dry
150.1,388.4,0,dry
151.1,387.5,0,dry
152.1,384.4,0,dry
153.1,379.4,0,dry
154.1,373.1,0,dry
155.1,364.6,0,dry
156.1,356.9,1,dry
157.1,349.7,1,dry
158.1,341.6,1,dry
159.1,333.5,1,dry
160.1,329.4,1,dry
161.1,326.3,1,dry
162.1,324.9,1,dry
163.1,325.4,1,dry
164.1,326.3,1,dry
165.1,329.9,1,dry
166.1,333.9,1,dry
167.1,338.4,1,dry
168.1,342.1,1,dry
169.1,346.1,1,dry
170.1,351.5,1,dry
171.1,356.0,1,dry
172.1,360.1,1,dry
173.1,365.0,1,dry
174.1,368.6,1,dry
175.1,374.9,1,dry
176.1,379.4,1,dry
177.1,383.4,0,dry
178.1,387.9,0,dry
179.1,389.8,0,dry
180.1,391.6,0,dry
181.1,390.2,0,dry
182.1,386.6,0,dry
183.1,380.3,0,dry
184.1,373.6,0,dry
185.1,367.7,0,dry
186.1,359.6,1,dry
187.1,351.1,1,dry
188.1,342.9,1,dry
189.1,335.8,1,dry
190.1,329.4,1,dry
191.1,327.6,1,dry
192.1,327.2,1,dry
193.1,327.2,1,dry
194.1,329.9,1,dry
195.1,332.1,1,dry
196.1,336.6,1,dry
197.1,341.6,1,dry
198.1,347.4,1,dry
199.1,353.3,1,dry
200.1,357.8,1,dry
201.1,363.6,1,dry
202.1,368.6,1,dry
203.1,375.4,1,dry
204.1,379.4,1,dry
205.1,385.2,0,dry
206.1,387.9,0,dry
207.1,391.6,0,dry
208.1,391.6,0,dry
209.1,389.8,0,dry
210.1,385.2,0,dry
211.1,380.3,0,dry
212.1,372.2,0,dry
213.1,363.6,0,dry
214.1,353.8,1,dry
215.1,345.6,1,dry
216.1,337.6,1,dry
217.1,329.0,1,dry
218.1,324.5,1,dry
219.1,322.7,1,dry
220.1,322.2,1,dry
221.1,324.1,1,dry
222.1,326.8,1,dry
223.1,329.4,1,dry
224.1,335.3,1,dry
225.1,339.4,1,dry
226.1,344.3,1,dry
227.1,348.8,1,dry
228.1,355.6,1,dry
229.1,359.1,1,dry
230.1,363.6,1,dry
231.1,369.9,1,dry
232.1,374.0,1,dry
233.1,378.1,1,dry
234.1,382.1,0,dry
235.1,386.6,0,dry
236.1,389.8,0,dry
237.1,389.8,0,dry
238.1,388.9,0,dry
239.1,384.4,0,dry
240.1,378.1,0,dry
241.1,370.4,0,dry
242.1,361.9,0,dry
243.2,351.9,1,dry
244.2,343.4,1,dry
245.2,334.9,1,dry
246.2,329.0,1,dry
247.2,323.6,1,dry
248.2,320.9,1,dry
249.2,320.4,1,dry
250.2,321.8,1,dry
251.2,324.9,1,dry
252.2,329.0,1,dry
253.2,333.1,1,dry
254.2,339.8,1,dry
255.2,345.6,1,dry
256.2,351.1,1,brown
257.2,356.9,1,brown
258.2,363.2,1,brown
259.2,369.5,1,brown
260.2,375.4,1,brown
261.2,379.4,1,brown
262.2,383.4,1,brown
263.2,387.5,1,brown
264.2,392.0,1,brown
265.2,395.6,1,brown
266.2,399.2,1,brown
267.2,401.9,1,brown
268.2,405.1,1,brown
269.2,408.2,1,brown
270.2,410.4,1,brown
271.2,412.7,1,brown
272.2,414.9,1,brown
273.2,417.2,0,brown
274.2,418.1,0,brown
275.2,419.0,0,brown
276.2,417.2,0,brown
277.2,414.1,0,brown
278.2,407.8,0,brown
279.2,400.1,0,brown
280.2,391.1,0,brown
281.2,382.1,1,brown
282.2,372.6,1,brown
283.2,362.3,1,brown
284.2,354.6,1,brown
285.2,348.4,1,brown
286.2,344.3,1,brown
287.2,342.5,1,brown
288.2,343.4,1,brown
289.2,344.3,1,brown
290.2,346.6,1,brown
291.2,350.6,1,brown
292.2,354.6,1,brown
293.2,359.1,1,brown
294.2,363.2,1,brown
295.2,367.7,1,brown
296.2,373.1,1,brown
297.2,377.6,1,brown
298.2,382.1,1,brown
299.2,386.1,1,brown
300.2,390.2,1,brown
301.2,394.2,1,brown
302.2,399.6,1,brown
303.2,403.2,1,brown
304.2,407.3,1,brown
305.2,412.2,1,brown
306.2,415.9,0,brown
307.2,420.4,0,brown
308.2,423.1,0,brown
309.2,423.5,0,brown
310.2,422.6,0,brown
311.2,418.1,0,brown
312.2,412.2,0,brown
313.2,405.1,0,brown
314.2,396.9,0,brown
315.2,386.6,1,brown
316.2,377.6,1,brown
317.2,369.1,1,brown
318.2,361.4,1,brown
319.2,356.4,1,brown
320.2,352.9,1,brown
321.2,353.3,1,brown
322.2,353.3,1,brown
323.2,355.1,1,brown
324.2,357.8,1,brown
325.2,361.4,1,brown
326.2,365.0,1,brown
327.2,369.5,1,brown
328.2,374.9,1,brown
329.2,379.4,1,brown
330.2,384.8,1,brown
331.2,389.3,1,brown
332.2,394.2,1,brown
333.2,398.3,1,brown
334.2,402.8,1,brown
335.2,406.4,1,brown
336.2,410.4,1,brown
337.2,413.6,1,brown
338.2,415.9,0,brown
339.2,418.6,0,brown
340.2,420.4,0,brown
341.2,421.2,0,brown
342.2,419.0,0,brown
343.2,415.9,0,brown
344.2,410.0,0,brown
345.2,402.4,0,brown
346.2,392.0,0,brown
347.2,383.0,1,brown
348.2,372.2,1,brown
349.2,363.6,1,brown
350.2,356.4,1,brown
351.2,350.6,1,brown
352.2,347.4,1,brown
353.2,347.0,1,brown
354.2,347.4,1,brown
355.2,349.7,1,brown
356.2,352.9,1,brown
357.2,355.6,1,brown
358.2,360.1,1,brown
359.2,365.0,1,brown
360.2,369.9,1,brown
361.2,374.9,1,brown
362.2,381.6,1,brown
363.2,385.7,1,brown
364.2,391.6,1,brown
365.2,396.1,1,brown
366.2,400.1,1,brown
367.2,405.1,1,brown
368.2,409.6,1,brown
369.2,414.9,1,brown
370.2,418.6,0,brown
371.2,421.2,0,brown
372.2,424.9,0,brown
373.2,424.9,0,brown
374.2,422.1,0,brown
375.2,417.6,0,brown
376.2,411.8,0,brown
377.2,403.7,0,brown
378.2,392.9,0,brown
379.2,382.1,1,brown
380.2,373.1,1,brown
381.2,361.9,1,brown
382.2,355.6,1,brown
383.2,349.7,1,brown
384.2,347.0,1,brown
385.2,346.1,1,brown
386.2,347.4,1,brown
387.2,350.1,1,brown
388.2,353.8,1,brown
389.2,357.4,1,brown
390.2,360.9,1,brown
391.2,367.2,1,brown
392.3,372.2,1,brown
393.3,378.9,1,brown
394.3,383.9,1,brown
395.3,390.6,1,brown
396.3,396.1,1,brown
397.3,401.4,1,brown
398.3,405.9,1,brown
399.3,410.0,1,brown
400.3,414.5,1,brown
401.3,417.6,0,brown
