time_s,temp_F,heat_on,stage
0.0,130.1,1,pre
1.0,132.8,1,pre
2.0,134.2,1,pre
3.0,137.3,1,pre
4.0,139.6,1,pre
5.0,144.9,1,pre
6.0,149.0,1,pre
7.0,154.4,1,pre
8.0,160.2,1,pre
9.0,167.0,1,pre
10.0,173.3,1,pre
11.0,178.2,1,pre
12.0,183.7,1,pre
13.0,191.3,1,pre
14.0,197.2,1,pre
15.0,203.4,1,pre
16.0,209.8,1,pre
17.0,216.1,1,pre
18.0,221.0,1,pre
19.0,226.4,1,pre
20.0,232.7,1,pre
21.0,237.7,1,pre
22.0,242.6,1,pre
23.0,246.2,1,pre
24.0,251.6,1,pre
25.0,255.7,1,pre
26.0,260.1,1,pre
27.0,263.8,1,pre
28.0,266.0,1,pre
29.0,270.1,1,pre
30.0,273.2,1,pre
31.0,278.6,1,pre
32.0,282.2,1,pre
33.0,285.8,1,pre
34.0,288.5,1,pre
35.0,293.0,1,pre
36.0,295.2,1,pre
37.0,297.1,1,pre
38.0,297.9,1,pre
39.0,297.9,1,pre
40.0,299.3,1,pre
41.0,300.2,1,pre
42.0,302.0,1,pre
43.0,303.8,1,pre
44.0,305.1,1,pre
45.0,306.9,1,pre
46.0,308.3,1,pre
47.0,308.3,1,pre
48.0,307.4,1,pre
49.0,306.5,1,pre
50.0,306.5,1,pre
51.0,306.1,1,pre
52.0,306.5,1,pre
53.0,306.9,1,pre
54.0,306.9,1,pre
55.0,306.9,1,pre
56.0,307.9,1,pre
57.0,308.3,1,pre
58.0,309.2,1,pre
59.0,310.1,1,pre
60.0,311.9,1,pre
61.0,313.7,1,pre
62.0,314.6,1,pre
63.0,315.5,1,pre
64.0,316.4,1,pre
65.0,316.9,1,pre
66.0,316.9,1,pre
67.0,316.9,1,pre
68.0,316.4,1,pre
69.0,315.1,1,pre
70.0,315.5,1,pre
71.0,314.1,1,pre
72.0,315.1,1,pre
73.0,312.8,1,pre
74.0,313.2,1,pre
75.0,313.7,1,pre
76.0,314.1,1,pre
77.0,313.2,1,pre
78.0,314.6,1,pre
79.0,313.7,1,dry
80.0,314.6,1,dry
81.1,314.6,1,dry
82.1,314.1,1,dry
83.1,315.9,1,dry
84.1,315.9,1,dry
85.1,316.4,1,dry
86.1,318.6,1,dry
87.1,321.8,1,dry
88.1,325.9,1,dry
89.1,329.4,1,dry
90.1,331.7,1,dry
91.1,333.1,1,dry
92.1,334.9,1,dry
93.1,336.6,1,dry
94.1,338.0,1,dry
95.1,339.4,1,dry
96.1,341.1,1,dry
97.1,342.9,1,dry
98.1,345.2,1,dry
99.1,347.0,1,dry
100.1,349.2,1,dry
101.1,350.6,1,dry
102.1,351.5,1,dry
103.1,353.8,1,dry
104.1,355.1,1,dry
105.1,357.8,1,dry
106.1,359.6,1,dry
107.1,360.9,1,dry
108.1,363.2,1,dry
109.1,363.6,1,dry
110.1,365.9,1,dry
111.1,368.1,1,dry
112.1,369.5,1,dry
113.1,370.9,1,dry
114.1,372.6,1,dry
115.1,374.0,1,dry
116.1,374.9,1,dry
117.1,376.7,1,dry
118.1,378.5,1,dry
119.1,380.3,0,dry
120.1,379.9,0,dry
121.1,380.3,0,dry
122.1,378.5,0,dry
123.1,374.9,0,dry
124.1,370.9,0,dry
125.1,363.2,0,dry
126.1,355.6,1,dry
127.1,347.0,1,dry
128.1,338.4,1,dry
129.1,331.2,1,dry
130.1,325.9,1,dry
131.1,322.7,1,dry
132.1,321.8,1,dry
133.1,321.8,1,dry
134.1,322.2,1,dry
135.1,324.1,1,dry
136.1,325.9,1,dry
137.1,329.4,1,dry
138.1,331.7,1,dry
139.1,334.4,1,dry
140.1,338.4,1,dry
141.1,342.1,1,dry
142.1,345.2,1,dry
143.1,349.2,1,dry
144.1,352.9,1,dry
145.1,356.4,1,dry
146.1,360.1,1,dry
147.1,362.8,1,dry
148.1,366.4,1,dry
149.1,369.9,1,dry
150.1,371.3,1,dry
151.1,374.0,1,dry
152.1,377.6,1,dry
153.1,380.3,0,dry
154.1,381.6,0,dry
155.1,383.0,0,dry
156.1,383.4,0,dry
157.1,381.2,0,dry
158.1,378.1,0,dry
159.1,372.2,0,dry
160.1,364.6,0,dry
161.1,355.6,1,dry
162.1,347.4,1,dry
163.1,338.4,1,dry
164.1,330.8,1,dry
165.1,326.3,1,dry
166.1,323.1,1,dry
167.1,322.7,1,dry
168.1,322.7,1,dry
169.1,323.1,1,dry
170.1,326.3,1,dry
171.1,329.4,1,dry
172.1,332.6,1,dry
173.1,336.6,1,dry
174.1,341.6,1,dry
175.1,345.2,1,dry
176.1,349.2,1,dry
177.1,353.3,1,dry
178.1,356.9,1,dry
179.1,361.9,1,dry
180.1,363.6,1,dry
181.1,368.6,1,dry
182.1,371.3,1,dry
183.1,376.7,1,dry
184.1,378.1,1,dry
185.1,380.8,0,dry
186.1,383.0,0,dry
187.1,385.2,0,dry
188.1,385.7,0,dry
189.1,383.4,0,dry
190.1,379.4,0,dry
191.1,374.4,0,dry
192.1,367.7,0,dry
193.1,360.1,0,dry
194.1,351.9,1,dry
