time_s,temp_F,heat_on,stage
0.0,121.1,1,pre
1.0,122.5,1,pre
2.0,122.0,1,pre
3.0,122.0,1,pre
4.0,122.9,1,pre
5.0,126.0,1,pre
6.0,128.3,1,pre
7.0,132.3,1,pre
8.0,137.3,1,pre
9.0,144.1,1,pre
10.0,149.4,1,pre
11.0,155.3,1,pre
12.0,161.6,1,pre
13.0,165.7,1,pre
14.0,173.3,1,pre
15.0,178.7,1,pre
16.0,183.7,1,pre
17.0,189.9,1,pre
18.0,196.2,1,pre
19.0,201.2,1,pre
20.0,205.2,1,pre
21.0,209.3,1,pre
22.0,212.4,1,pre
23.0,216.1,1,pre
24.0,221.4,1,pre
25.0,224.6,1,pre
26.0,230.0,1,pre
27.0,234.1,1,pre
28.0,237.2,1,pre
29.0,241.2,1,pre
30.0,244.8,1,pre
31.0,247.1,1,pre
32.0,249.8,1,pre
33.0,252.9,1,pre
34.0,254.3,1,pre
35.0,257.0,1,pre
36.0,260.1,1,pre
37.0,263.3,1,pre
38.0,265.1,1,pre
39.0,267.8,1,pre
40.0,271.9,1,pre
41.0,274.1,1,pre
42.0,277.2,1,pre
43.0,280.4,1,pre
44.0,282.2,1,pre
45.0,284.4,1,pre
46.0,284.4,1,pre
47.0,285.8,1,pre
48.0,287.1,1,pre
49.0,286.2,1,pre
50.0,286.2,1,pre
51.0,286.2,1,pre
52.0,288.1,1,pre
53.0,289.4,1,pre
54.0,289.4,1,pre
55.0,288.9,1,pre
56.0,288.1,1,pre
57.0,287.6,1,pre
58.0,286.2,1,pre
59.0,284.9,1,pre
60.0,284.4,1,pre
61.0,283.1,1,pre
62.0,281.3,1,pre
63.0,280.9,1,pre
64.0,279.9,1,pre
65.0,279.9,1,pre
66.0,278.1,1,pre
67.0,279.5,1,pre
68.0,279.5,1,pre
69.0,279.9,1,pre
70.0,280.4,1,pre
71.0,279.9,1,pre
72.0,279.1,1,pre
73.0,278.6,1,pre
74.0,277.7,1,pre
75.0,276.8,1,pre
76.0,275.9,1,pre
77.0,276.8,1,pre
78.0,276.4,1,pre
79.0,276.8,1,pre
80.0,276.4,1,pre
81.0,277.7,1,pre
82.1,277.7,1,pre
83.1,277.2,1,pre
84.1,278.6,1,pre
85.1,278.1,1,pre
86.1,277.7,1,pre
87.1,278.1,1,pre
88.1,277.2,1,pre
89.1,278.1,1,pre
90.1,277.2,1,dry
91.1,277.7,1,dry
92.1,279.5,1,dry
93.1,281.8,1,dry
94.1,286.2,1,dry
95.1,289.4,1,dry
96.1,293.0,1,dry
97.1,297.1,1,dry
98.1,299.3,1,dry
99.1,303.8,1,dry
100.1,304.7,1,dry
101.1,307.9,1,dry
102.1,309.6,1,dry
103.1,311.4,1,dry
104.1,314.6,1,dry
105.1,317.3,1,dry
106.1,319.6,1,dry
107.1,321.8,1,dry
108.1,323.6,1,dry
109.1,325.9,1,dry
110.1,328.1,1,dry
111.1,330.4,1,dry
112.1,332.6,1,dry
113.1,333.9,1,dry
114.1,336.2,1,dry
115.1,338.4,1,dry
116.1,340.2,1,dry
117.1,342.1,1,dry
118.1,343.4,1,dry
119.1,345.2,1,dry
120.1,346.1,1,dry
121.1,347.9,1,dry
122.1,348.8,1,dry
123.1,350.1,1,dry
124.1,351.5,1,dry
125.1,353.3,1,dry
126.1,354.2,1,dry
127.1,356.9,1,dry
128.1,356.9,1,dry
129.1,360.1,1,dry
130.1,360.9,1,dry
131.1,362.8,1,dry
132.1,363.6,1,dry
133.1,365.4,1,dry
134.1,366.4,1,dry
135.1,366.8,1,dry
136.1,368.6,1,dry
137.1,370.9,1,dry
139.1,372.2,1,dry
141.1,371.3,1,dry
143.1,367.2,1,dry
144.1,364.1,1,dry
145.1,360.9,1,dry
146.1,357.8,1,dry
147.1,357.4,1,dry
148.1,356.9,1,dry
149.1,356.4,1,dry
150.1,356.4,1,dry
151.1,357.8,1,dry
152.1,359.1,1,dry
153.1,360.5,1,dry
154.1,362.8,1,dry
155.1,365.0,1,dry
156.1,365.9,1,dry
157.1,368.6,1,dry
158.1,369.9,1,dry
159.1,372.2,1,dry
161.1,376.2,1,dry
163.1,374.4,1,dry
165.1,370.9,1,dry
167.1,365.4,1,dry
168.1,362.3,1,dry
169.1,359.1,1,dry
170.1,356.9,1,dry
171.1,356.0,1,dry
172.1,354.6,1,dry
173.1,355.1,1,dry
174.1,355.1,1,dry
175.1,356.0,1,dry
176.1,357.8,1,dry
177.1,359.6,1,dry
178.1,361.4,1,dry
179.1,364.6,1,dry
180.1,366.8,1,dry
181.1,368.6,1,dry
182.1,371.3,1,dry
184.1,375.4,1,dry
186.1,374.4,1,dry
188.1,370.9,1,dry
190.1,366.8,1,dry
191.1,363.6,1,dry
192.1,361.4,1,dry
193.1,359.6,1,dry
194.1,357.8,1,dry
195.1,356.9,1,dry
196.1,356.9,1,dry
197.1,357.4,1,dry
198.1,358.2,1,dry
199.1,359.6,1,dry
200.1,361.9,1,dry
201.1,364.1,1,dry
202.1,364.6,1,dry
203.1,368.1,1,dry
204.1,369.9,1,dry
205.1,373.1,1,dry
207.1,376.7,1,dry
209.1,377.6,1,dry
211.1,374.0,1,dry
213.1,368.6,1,brown
214.1,365.4,1,brown
215.1,363.6,1,brown
216.1,360.5,1,brown
217.1,359.1,1,brown
218.1,358.7,1,brown
219.1,358.7,1,brown
220.1,359.6,1,brown
221.1,360.1,1,brown
222.1,361.9,1,brown
223.1,363.2,1,brown
224.1,365.9,1,brown
225.1,368.1,1,brown
226.1,370.9,1,brown
227.1,372.6,1,brown
228.1,375.4,1,brown
229.1,377.6,1,brown
230.1,379.4,1,brown
231.1,382.1,1,brown
232.1,383.9,1,brown
233.1,384.8,1,brown
234.1,387.9,1,brown
235.1,389.3,1,brown
236.1,391.1,1,brown
237.1,392.4,1,brown
238.1,394.2,1,brown
239.1,396.1,1,brown
240.1,397.9,1,brown
241.1,398.8,1,brown
242.1,400.1,1,brown
244.1,402.4,1,brown
246.1,400.1,1,brown
248.1,395.1,1,brown
249.1,392.0,1,brown
250.1,388.9,1,brown
251.1,386.6,1,brown
252.1,384.8,1,brown
253.1,382.6,1,brown
254.1,380.8,1,brown
255.1,381.6,1,brown
256.1,382.6,1,brown
257.1,383.4,1,brown
258.1,383.9,1,brown
259.2,385.2,1,brown
260.2,386.1,1,brown
261.2,388.9,1,brown
262.2,390.2,1,brown
263.2,391.6,1,brown
264.2,393.4,1,brown
265.2,395.6,1,brown
266.2,397.9,1,brown
267.2,399.2,1,brown
268.2,400.6,1,brown
270.2,402.4,1,brown
272.2,401.4,1,brown
274.2,396.1,1,brown
275.2,392.9,1,brown
276.2,390.2,1,brown
277.2,388.4,1,brown
278.2,386.6,1,brown
279.2,384.8,1,brown
280.2,384.4,1,brown
281.2,383.9,1,brown
282.2,384.4,1,brown
283.2,384.8,1,brown
284.2,385.2,1,brown
285.2,387.5,1,brown
286.2,388.9,1,brown
287.2,390.6,1,brown
288.2,392.9,1,brown
289.2,394.7,1,brown
290.2,396.5,1,brown
291.2,397.9,1,brown
292.2,400.6,1,brown
294.2,402.4,1,brown
296.2,401.9,1,brown
298.2,397.4,1,brown
299.2,394.7,1,brown
300.2,392.4,1,brown
301.2,390.2,1,brown
302.2,387.9,1,brown
303.2,385.7,1,brown
304.2,386.1,1,brown
305.2,385.7,1,brown
306.2,386.1,1,brown
307.2,387.5,1,brown
308.2,388.9,1,brown
309.2,390.2,1,brown
310.2,392.4,1,brown
311.2,394.2,1,brown
312.2,395.6,1,brown
313.2,396.5,1,brown
314.2,397.9,1,brown
315.2,401.0,1,brown
317.2,403.2,1,brown
319.2,402.4,1,brown
321.2,398.8,1,brown
322.2,395.6,1,brown
323.2,393.4,1,brown
324.2,391.1,1,brown
325.2,389.3,1,brown
326.2,388.4,1,brown
327.2,389.3,1,brown
328.2,388.9,1,brown
329.2,390.2,1,brown
330.2,390.2,1,brown
331.2,392.4,1,brown
332.2,393.8,1,brown
333.2,395.6,1,brown
334.2,396.9,1,brown
335.2,398.8,1,brown
336.2,401.0,1,brown
338.2,404.1,1,brown
340.2,402.4,1,brown
342.2,398.3,1,brown
343.2,396.5,1,dev
344.2,394.2,1,dev
345.2,391.6,1,dev
346.2,390.2,1,dev
347.2,389.8,1,dev
348.2,388.9,1,dev
349.2,388.9,1,dev
350.2,390.2,1,dev
351.2,391.1,1,dev
352.2,392.4,1,dev
353.2,393.4,1,dev
354.2,396.1,1,dev
355.2,396.5,1,dev
356.2,399.2,1,dev
357.2,400.6,1,dev
358.2,401.9,1,dev
359.2,402.8,1,dev
360.2,405.1,1,dev
361.2,406.9,1,dev
362.2,407.8,1,dev
363.2,408.6,1,dev
