time_s,temp_F,heat_on,stage
0.0,226.4,1,pre
1.0,224.2,1,pre
2.0,222.3,1,pre
3.0,220.1,1,pre
4.0,218.3,1,pre
5.0,217.8,1,pre
6.0,218.3,1,pre
7.0,218.3,1,pre
8.0,220.6,1,pre
9.0,221.9,1,pre
10.0,224.2,1,pre
11.0,225.9,1,pre
12.0,229.1,1,pre
13.0,232.2,1,pre
14.0,234.9,1,pre
15.0,239.0,1,pre
16.0,241.7,1,pre
17.0,243.5,1,pre
18.0,246.7,1,pre
19.0,248.9,1,pre
20.0,250.7,1,pre
21.0,252.9,1,pre
22.0,255.2,1,pre
23.0,259.2,1,pre
24.0,261.9,1,pre
25.0,263.3,1,pre
26.0,266.4,1,pre
27.0,268.2,1,pre
28.0,270.1,1,pre
29.0,271.9,1,pre
30.0,272.8,1,pre
31.0,272.8,1,pre
32.0,274.6,1,pre
33.0,275.9,1,pre
34.0,276.4,1,pre
35.0,276.8,1,pre
36.0,277.7,1,pre
37.0,277.7,1,pre
38.0,276.8,1,pre
39.0,277.2,1,pre
40.0,277.2,1,pre
41.0,278.6,1,pre
42.0,278.6,1,pre
43.0,279.5,1,pre
44.0,279.5,1,pre
45.0,280.4,1,pre
46.0,282.2,1,pre
47.0,282.6,1,pre
48.0,284.0,1,pre
49.0,284.4,1,pre
50.0,285.4,1,pre
51.0,286.7,1,pre
52.0,289.9,1,pre
53.0,293.9,1,pre
54.0,297.5,1,pre
55.0,300.6,1,pre
56.0,302.4,1,pre
57.0,302.9,1,pre
58.0,303.4,1,pre
59.0,302.4,1,pre
60.0,301.6,1,pre
61.0,301.6,1,pre
62.0,302.0,1,pre
63.0,301.1,1,pre
64.0,299.8,1,pre
65.0,300.2,1,pre
66.0,299.3,1,pre
67.0,298.9,1,pre
68.0,298.9,1,pre
69.0,298.4,1,dry
70.0,298.4,1,dry
71.0,299.8,1,dry
72.0,301.1,1,dry
73.0,303.4,1,dry
74.1,306.1,1,dry
75.1,307.9,1,dry
76.1,306.9,1,dry
77.1,307.4,1,dry
78.1,308.3,1,dry
79.1,307.9,1,dry
80.1,308.3,1,dry
81.1,307.4,1,dry
82.1,307.4,1,dry
83.1,306.9,1,dry
84.1,308.3,1,dry
85.1,308.3,1,dry
86.1,309.2,1,dry
87.1,310.1,1,dry
88.1,310.6,1,dry
89.1,312.4,1,dry
90.1,313.2,1,dry
91.1,313.7,1,dry
92.1,315.1,1,dry
93.1,315.5,1,dry
94.1,317.3,1,dry
95.1,317.8,1,dry
96.1,319.6,1,dry
97.1,321.4,1,dry
98.1,322.7,1,dry
99.1,322.7,1,dry
100.1,325.9,1,dry
101.1,327.2,1,dry
102.1,328.1,1,dry
103.1,328.6,1,dry
104.1,330.4,1,dry
105.1,331.7,1,dry
106.1,333.5,1,dry
107.1,335.8,1,dry
108.1,337.1,1,dry
109.1,338.9,1,dry
110.1,339.8,1,dry
111.1,340.7,1,dry
