time_s,temp_F,heat_on,stage
0.0,73.4,1,pre
1.0,76.5,1,pre
2.0,79.2,1,pre
3.0,84.2,1,pre
4.0,90.5,1,pre
5.0,97.7,1,pre
6.0,105.8,1,pre
7.0,116.2,1,pre
8.0,125.2,1,pre
9.0,134.6,1,pre
10.0,145.8,1,pre
11.0,155.8,1,pre
12.0,166.6,1,pre
13.0,176.4,1,pre
14.0,186.3,1,pre
15.0,196.2,1,pre
16.0,206.2,1,pre
17.0,213.8,1,pre
18.0,221.9,1,pre
19.0,230.0,1,pre
20.0,236.8,1,pre
21.0,245.3,1,pre
22.0,250.7,1,pre
23.0,257.0,1,pre
24.0,264.2,1,pre
25.0,270.9,1,pre
26.0,275.0,1,pre
27.0,279.5,1,pre
28.0,283.1,1,pre
29.0,285.8,1,pre
30.0,288.1,1,pre
31.0,289.9,1,pre
32.0,293.4,1,pre
33.0,295.7,1,pre
34.0,299.3,1,pre
35.0,301.1,1,pre
36.0,302.9,1,pre
37.0,305.6,1,pre
38.0,307.9,1,pre
39.0,310.6,1,pre
40.0,312.4,1,pre
41.0,315.9,1,pre
42.0,317.3,1,pre
43.0,319.1,1,pre
44.0,321.4,1,pre
45.0,323.1,1,pre
46.0,324.5,1,pre
47.0,326.3,1,pre
48.0,327.6,1,pre
49.0,329.0,1,pre
50.0,329.0,1,pre
51.0,329.4,1,pre
52.0,330.4,1,pre
53.0,330.8,1,pre
54.0,331.2,1,dry
55.0,331.7,1,dry
56.0,332.1,1,dry
57.0,332.6,1,dry
58.0,333.1,1,dry
59.0,335.3,1,dry
60.0,337.1,1,dry
61.0,339.4,1,dry
62.0,342.1,1,dry
63.0,344.8,1,dry
64.0,347.9,1,dry
65.0,352.4,1,dry
66.0,356.0,1,dry
67.0,359.1,1,dry
68.0,362.3,1,dry
69.0,365.4,1,dry
70.0,369.5,1,dry
71.0,371.3,1,dry
72.0,373.6,1,dry
73.0,375.8,1,dry
74.0,378.1,1,dry
75.0,380.8,0,dry
76.0,382.1,0,dry
77.0,382.6,0,dry
78.1,380.8,0,dry
79.1,378.9,0,dry
80.1,372.6,0,dry
81.1,366.4,0,dry
82.1,358.2,1,dry
83.1,350.1,1,dry
84.1,341.6,1,dry
85.1,334.4,1,dry
86.1,329.0,1,dry
87.1,324.9,1,dry
88.1,323.1,1,dry
89.1,323.1,1,dry
90.1,324.5,1,dry
91.1,326.3,1,dry
92.1,328.1,1,dry
93.1,332.1,1,dry
94.1,336.6,1,dry
95.1,340.2,1,dry
96.1,345.2,1,dry
97.1,349.2,1,dry
98.1,353.8,1,dry
99.1,359.1,1,dry
100.1,363.2,1,dry
101.1,367.7,1,dry
102.1,371.8,1,dry
103.1,375.8,1,dry
104.1,379.4,1,dry
105.1,383.9,0,dry
106.1,384.4,0,dry
107.1,386.1,0,dry
108.1,386.1,0,dry
109.1,383.9,0,dry
110.1,381.6,0,dry
111.1,375.8,0,dry
112.1,369.1,0,dry
113.1,360.9,0,dry
114.1,351.9,1,dry
115.1,345.2,1,dry
116.1,337.6,1,dry
117.1,329.9,1,dry
118.1,325.4,1,dry
119.1,323.6,1,dry
120.1,324.1,1,dry
121.1,325.4,1,dry
122.1,328.6,1,dry
123.1,332.6,1,dry
124.1,336.6,1,dry
125.1,341.1,1,dry
126.1,347.0,1,dry
127.1,351.5,1,dry
128.1,355.6,1,dry
129.1,361.9,1,dry
130.1,366.4,1,dry
131.1,371.3,1,dry
132.1,376.7,1,dry
133.1,379.4,1,dry
134.1,385.2,0,dry
135.1,388.9,0,dry
136.1,391.1,0,dry
137.1,392.4,0,dry
138.1,390.6,0,dry
139.1,387.1,0,dry
140.1,382.1,0,dry
141.1,375.4,0,dry
142.1,367.2,0,dry
143.1,359.1,1,dry
144.1,351.9,1,dry
145.1,342.5,1,dry
146.1,336.2,1,dry
147.1,331.2,1,dry
148.1,328.6,1,dry
149.1,327.6,1,dry
150.1,329.4,1,dry
151.1,331.2,1,dry
152.1,333.9,1,dry
153.1,338.9,1,dry
154.1,342.1,1,dry
155.1,348.4,1,dry
156.1,353.3,1,dry
157.1,359.6,1,dry
158.1,365.0,1,dry
159.1,370.4,1,dry
160.1,374.4,1,dry
161.1,378.5,1,dry
162.1,384.4,0,dry
163.1,389.3,0,dry
164.1,392.4,0,dry
165.1,393.4,0,dry
166.1,392.4,0,dry
167.1,388.9,0,dry
168.1,383.4,0,dry
169.1,376.7,0,dry
170.1,368.6,0,dry
171.1,359.1,1,dry
172.1,351.9,1,dry
173.1,342.5,1,dry
174.1,336.2,1,dry
175.1,331.7,1,dry
176.1,327.6,1,dry
177.1,328.1,1,dry
178.1,328.6,1,dry
179.1,333.1,1,dry
180.1,334.9,1,dry
181.1,340.2,1,dry
182.1,344.8,1,dry
183.1,351.9,1,dry
184.1,357.4,1,dry
185.1,362.8,1,dry
186.1,369.1,1,dry
187.1,374.9,1,dry
188.1,380.8,0,dry
189.1,384.8,0,dry
190.1,389.3,0,dry
191.1,392.4,0,dry
192.1,391.6,0,dry
193.1,388.4,0,dry
194.1,383.0,0,dry
195.1,378.5,0,dry
196.1,370.4,0,dry
197.1,362.8,0,dry
198.1,355.1,1,dry
199.1,347.9,1,dry
200.1,339.8,1,dry
201.1,335.3,1,dry
202.1,330.8,1,dry
203.1,329.4,1,brown
