time_s,temp_F,heat_on,stage
0.0,46.9,1,pre
1.0,47.3,1,pre
2.0,48.2,1,pre
3.0,50.5,1,pre
4.0,53.6,1,pre
5.0,56.8,1,pre
6.0,60.4,1,pre
7.0,64.8,1,pre
8.0,69.8,1,pre
9.0,75.7,1,pre
10.0,81.5,1,pre
11.0,88.7,1,pre
12.0,95.0,1,pre
13.0,102.2,1,pre
14.0,108.5,1,pre
15.0,115.7,1,pre
16.0,121.5,1,pre
17.0,127.4,1,pre
18.0,134.6,1,pre
19.0,140.4,1,pre
20.0,147.7,1,pre
21.0,153.1,1,pre
22.0,158.4,1,pre
23.0,163.4,1,pre
24.0,167.9,1,pre
25.0,172.8,1,pre
26.0,177.3,1,pre
27.0,181.8,1,pre
28.0,185.4,1,pre
29.0,189.9,1,pre
30.0,193.6,1,pre
31.0,196.2,1,pre
32.0,198.9,1,pre
33.0,202.6,1,pre
34.0,204.3,1,pre
35.0,206.2,1,pre
36.0,208.8,1,pre
37.0,210.2,1,pre
38.0,212.0,1,pre
39.0,213.8,1,pre
40.0,214.2,1,pre
41.0,215.6,1,pre
42.0,216.1,1,pre
43.0,216.9,1,pre
44.0,217.8,1,pre
45.0,217.8,1,pre
46.0,219.7,1,pre
47.0,220.1,1,pre
48.0,220.1,1,pre
49.0,220.6,1,pre
50.0,221.4,1,pre
51.0,222.3,1,pre
52.0,223.2,1,pre
53.0,224.2,1,pre
54.0,225.1,1,pre
55.0,226.4,1,pre
56.0,225.9,1,pre
57.0,227.3,1,pre
58.0,227.3,1,pre
59.0,226.4,1,pre
60.0,227.8,1,pre
61.0,227.3,1,pre
62.0,224.6,1,pre
63.0,224.6,1,pre
64.0,223.7,1,pre
65.0,224.6,1,pre
66.0,224.2,1,pre
67.0,224.2,1,pre
68.0,225.1,1,pre
69.0,225.9,1,pre
70.1,226.8,1,pre
71.1,229.1,1,pre
72.1,230.0,1,pre
73.1,231.8,1,pre
74.1,232.2,1,dry
75.1,234.9,1,dry
76.1,237.2,1,dry
77.1,240.8,1,dry
78.1,243.5,1,dry
79.1,248.0,1,dry
80.1,252.5,1,dry
81.1,257.0,1,dry
82.1,260.6,1,dry
83.1,261.9,1,dry
84.1,260.1,1,dry
85.1,260.6,1,dry
86.1,263.3,1,dry
87.1,266.4,1,dry
88.1,269.6,1,dry
89.1,272.3,1,dry
90.1,271.4,1,dry
91.1,267.8,1,dry
92.1,265.6,1,dry
93.1,266.9,1,dry
94.1,269.1,1,dry
95.1,270.5,1,dry
96.1,275.4,1,dry
97.1,277.7,1,dry
98.1,281.8,1,dry
99.1,284.0,1,dry
100.1,285.8,1,dry
101.1,288.5,1,dry
102.1,292.1,1,dry
103.1,295.7,1,dry
104.1,298.4,1,dry
105.1,302.0,1,dry
106.1,305.1,1,dry
107.1,308.3,1,dry
108.1,310.1,1,dry
109.1,312.8,1,dry
110.1,314.6,1,dry
111.1,315.9,1,dry
112.1,318.2,1,dry
113.1,320.4,1,dry
114.1,320.9,1,dry
115.1,321.8,1,dry
116.1,323.1,1,dry
117.1,324.1,1,dry
118.1,324.9,1,dry
119.1,326.8,1,dry
120.1,327.2,1,dry
121.1,329.0,1,dry
122.1,330.8,1,dry
123.1,331.2,1,dry
124.1,333.5,1,dry
125.1,335.8,1,dry
126.1,337.1,1,dry
127.1,338.4,1,dry
128.1,339.8,1,dry
129.1,341.1,1,dry
130.1,343.9,1,dry
131.1,345.2,1,dry
132.1,346.1,1,dry
133.1,347.9,1,dry
134.1,348.4,1,dry
135.1,350.1,1,dry
136.1,351.5,1,dry
137.1,351.9,1,dry
138.1,352.9,1,dry
139.1,353.8,1,dry
140.1,355.6,1,dry
141.1,355.6,1,dry
142.1,357.4,1,dry
143.1,358.7,1,dry
144.1,359.6,1,dry
145.1,360.9,1,dry
146.1,361.9,1,dry
147.1,363.6,1,dry
148.1,363.6,1,dry
149.1,365.0,1,dry
150.1,366.4,1,dry
151.1,366.4,1,dry
152.1,368.6,1,dry
153.1,368.6,1,dry
154.1,369.5,1,dry
155.1,370.9,1,dry
157.1,370.9,1,dry
159.1,368.1,1,dry
160.1,366.4,1,dry
161.1,364.1,1,dry
162.1,362.8,1,dry
163.1,360.5,1,dry
164.1,359.1,1,dry
165.1,359.6,1,dry
166.1,358.7,1,dry
167.1,359.1,1,dry
168.1,360.1,1,dry
169.1,360.1,1,dry
170.1,361.4,1,dry
171.1,362.3,1,dry
172.1,363.2,1,dry
173.1,365.0,1,dry
174.1,366.4,1,dry
175.1,367.7,1,dry
176.1,368.6,1,dry
177.1,369.5,1,dry
178.1,371.8,1,dry
180.1,372.2,1,dry
182.1,369.5,1,dry
183.1,367.2,1,dry
184.1,366.4,1,dry
185.1,363.6,1,dry
186.1,362.8,1,dry
187.1,360.9,1,dry
188.1,360.1,1,dry
189.1,360.1,1,dry
190.1,360.5,1,dry
191.1,360.5,1,dry
192.1,360.9,1,dry
193.1,361.4,1,dry
194.1,362.3,1,dry
195.1,362.3,1,dry
196.1,363.2,1,dry
197.1,364.6,1,dry
198.1,365.0,1,dry
199.1,366.4,1,dry
200.1,365.9,1,dry
201.1,368.6,1,dry
202.1,369.9,1,dry
203.1,369.9,1,dry
204.1,371.3,1,dry
206.1,373.1,1,dry
208.1,371.3,1,dry
210.1,367.7,1,dry
211.1,365.4,1,dry
212.1,362.3,1,dry
213.1,359.6,1,dry
214.1,357.8,1,dry
215.1,356.9,1,dry
216.1,355.1,1,dry
217.2,355.6,1,dry
218.2,356.9,1,dry
219.2,357.4,1,dry
220.2,357.8,1,dry
221.2,360.9,1,dry
222.2,360.9,1,dry
223.2,363.2,1,dry
224.2,365.9,1,dry
225.2,367.2,1,dry
226.2,369.1,1,dry
227.2,370.9,1,dry
229.2,373.1,1,dry
231.2,372.6,1,brown
232.2,371.3,1,brown
233.2,369.9,1,brown
234.2,368.1,1,brown
235.2,366.8,1,brown
236.2,365.0,1,brown
237.2,365.0,1,brown
238.2,365.0,1,brown
239.2,365.9,1,brown
240.2,367.2,1,brown
241.2,367.7,1,brown
242.2,368.6,1,brown
243.2,369.1,1,brown
244.2,370.9,1,brown
245.2,372.6,1,brown
246.2,373.1,1,brown
247.2,374.9,1,brown
248.2,376.2,1,brown
249.2,377.1,1,brown
250.2,378.9,1,brown
251.2,380.3,1,brown
252.2,381.6,1,brown
253.2,382.6,1,brown
254.2,384.4,1,brown
255.2,385.2,1,brown
256.2,385.7,1,brown
257.2,387.5,1,brown
258.2,387.9,1,brown
259.2,389.8,1,brown
260.2,390.2,1,brown
261.2,390.6,1,brown
262.2,391.6,1,brown
263.2,392.0,1,brown
264.2,393.8,1,brown
265.2,394.7,1,brown
266.2,394.7,1,brown
267.2,396.1,1,brown
268.2,396.9,1,brown
269.2,396.5,1,brown
270.2,399.2,1,brown
271.2,399.2,1,brown
272.2,399.6,1,brown
273.2,401.0,1,brown
275.2,401.0,1,brown
277.2,398.3,1,brown
278.2,396.1,1,brown
279.2,392.9,1,brown
280.2,390.2,1,brown
281.2,388.9,1,brown
282.2,387.1,1,brown
283.2,386.6,1,brown
284.2,385.7,1,brown
285.2,386.1,1,brown
286.2,386.1,1,brown
287.2,386.6,1,brown
288.2,387.5,1,brown
289.2,389.3,1,brown
290.2,390.2,1,brown
291.2,391.1,1,brown
292.2,392.0,1,brown
293.2,392.9,1,brown
294.2,394.2,1,brown
295.2,393.8,1,brown
296.2,394.2,1,brown
297.2,396.5,1,brown
298.2,396.5,1,brown
299.2,396.9,1,brown
300.2,398.3,1,brown
301.2,400.1,1,brown
303.2,400.1,1,brown
305.2,398.8,1,brown
306.2,396.9,1,brown
307.2,393.8,1,brown
308.2,392.9,1,brown
309.2,390.6,1,brown
310.2,389.3,1,brown
311.2,388.9,1,brown
312.2,387.5,1,brown
313.2,388.9,1,brown
314.2,389.3,1,brown
315.2,390.2,1,brown
316.2,391.1,1,brown
317.2,392.9,1,brown
318.2,393.4,1,brown
319.2,393.8,1,brown
320.2,396.1,1,brown
321.2,397.4,1,brown
322.2,398.8,1,brown
323.2,399.6,1,brown
324.2,401.0,1,brown
326.2,401.4,1,brown
328.2,399.6,1,brown
329.2,397.4,1,brown
330.2,395.6,1,brown
331.2,392.9,1,brown
332.2,391.6,1,brown
333.2,390.6,1,brown
334.2,389.8,1,brown
335.2,389.8,1,brown
336.2,388.9,1,brown
337.2,388.9,1,brown
338.2,391.1,1,brown
339.2,392.4,1,brown
340.2,393.4,1,brown
341.2,393.8,1,brown
342.2,395.6,1,brown
343.2,396.1,1,brown
344.2,397.9,1,brown
345.2,398.8,1,brown
346.2,400.1,1,brown
348.2,400.6,1,brown
350.2,399.6,1,brown
351.2,397.9,1,brown
352.2,395.1,1,brown
353.2,393.8,1,brown
354.2,391.6,1,brown
355.2,389.8,1,brown
356.2,390.2,1,brown
357.2,389.3,1,brown
358.2,389.8,1,brown
359.2,391.1,1,brown
360.2,391.6,1,brown
361.2,392.0,1,brown
362.2,392.4,1,brown
363.2,394.7,1,brown
364.2,396.1,1,brown
365.2,396.5,1,brown
366.2,396.5,1,brown
367.2,398.3,1,brown
368.2,399.6,1,brown
369.2,401.0,1,brown
371.2,401.4,1,brown
373.2,401.0,1,brown
375.2,395.1,1,brown
376.2,391.6,1,brown
377.2,389.3,1,brown
378.2,387.1,1,brown
379.3,383.9,1,brown
380.3,382.1,1,brown
381.3,382.6,1,brown
382.3,381.6,1,brown
383.3,382.1,1,brown
384.3,382.1,1,brown
385.3,383.9,1,brown
386.3,385.7,1,brown
387.3,387.9,1,brown
388.3,389.3,1,brown
389.3,390.6,1,brown
390.3,392.4,1,brown
391.3,394.2,1,brown
392.3,395.1,1,brown
393.3,396.5,1,brown
394.3,398.8,1,brown
395.3,400.6,1,brown
397.3,401.4,1,brown
399.3,400.1,1,brown
401.3,395.6,1,brown
402.3,392.4,1,brown
403.3,388.9,1,brown
404.3,386.6,1,brown
405.3,384.4,1,brown
406.3,383.0,1,brown
407.3,382.6,1,brown
408.3,382.6,1,brown
409.3,382.6,1,brown
410.3,383.9,1,brown
411.3,385.2,1,brown
412.3,387.1,1,brown
413.3,388.4,1,brown
414.3,390.2,1,brown
415.3,390.6,1,brown
416.3,394.2,1,brown
417.3,396.1,1,brown
418.3,397.4,1,brown
419.3,398.3,1,brown
420.3,399.6,1,brown
421.3,401.0,1,brown
423.3,403.2,1,dev
424.3,402.8,1,dev
425.3,402.8,1,dev
426.3,402.4,1,dev
427.3,401.9,1,dev
428.3,401.0,1,dev
429.3,401.9,1,dev
430.3,401.9,1,dev
431.3,401.0,1,dev
432.3,403.2,1,dev
433.3,403.7,1,dev
434.3,404.1,1,dev
435.3,405.1,1,dev
436.3,405.9,1,dev
437.3,407.3,1,dev
438.3,407.8,1,dev
439.3,408.6,1,dev
440.3,409.1,1,dev
441.3,410.0,1,dev
442.3,410.9,1,dev
443.3,411.8,1,dev
444.3,411.4,1,dev
445.3,413.1,1,dev
446.3,413.6,1,dev
447.3,414.1,1,dev
448.3,414.5,1,dev
449.3,415.4,1,dev
450.3,415.9,1,dev
451.3,416.3,1,dev
452.3,416.3,1,dev
453.3,417.2,1,dev
454.3,416.8,1,dev
455.3,418.6,1,dev
456.3,418.6,1,dev
457.3,419.0,1,dev
458.3,419.4,1,dev
459.3,419.9,1,dev
460.3,419.9,1,dev
461.3,421.2,1,dev
462.3,421.2,1,dev
463.3,421.7,1,dev
464.3,420.8,1,dev
465.3,423.1,1,dev
466.3,423.1,1,dev
467.3,423.1,1,dev
468.3,421.7,1,dev
469.3,424.9,1,dev
470.3,425.3,1,dev
471.3,426.2,1,dev
472.3,425.8,1,dev
473.3,426.6,1,dev
474.3,427.1,1,dev
475.3,428.0,1,dev
476.3,428.0,1,dev
477.3,427.6,1,dev
478.3,428.9,1,dev
479.3,429.4,1,dev
480.3,429.8,1,dev
481.3,429.8,1,dev
482.3,429.8,1,dev
483.3,430.2,1,dev
484.3,430.2,1,dev
485.3,429.8,1,dev
486.3,429.4,1,dev
487.3,430.2,1,dev
488.3,430.7,1,dev
489.3,429.8,1,dev
490.3,430.2,1,dev
491.3,430.7,1,dev
492.3,430.2,1,dev
493.3,430.7,1,dev
494.3,430.2,1,dev
495.3,431.6,1,dev
496.3,430.7,1,dev
497.3,431.1,1,dev
