time_s,temp_F,heat_on,stage
0.0,69.8,1,pre
1.0,70.7,1,pre
2.0,73.85,1,pre
3.0,75.65,1,pre
4.0,77.9,1,pre
5.0,80.6,1,pre
6.0,84.2,1,pre
7.0,88.25,1,pre
8.0,91.4,1,pre
9.0,95.45,1,pre
10.0,100.4,1,pre
11.0,104.0,1,pre
12.0,109.85,1,pre
13.0,113.45,1,pre
14.0,118.4,1,pre
15.0,123.8,1,pre
16.0,126.95,1,pre
17.0,131.9,1,pre
18.0,136.4,1,pre
19.0,140.0,1,pre
20.0,144.05,1,pre
21.0,148.1,1,pre
22.0,152.15,1,pre
23.0,155.75,1,pre
24.0,160.7,1,pre
25.0,164.75,1,pre
26.0,167.45,1,pre
27.0,171.05,1,pre
28.0,173.75,1,pre
29.0,176.9,1,pre
30.0,181.4,1,pre
31.0,184.1,1,pre
32.0,187.7,1,pre
33.0,191.75,1,pre
34.0,194.9,1,pre
35.0,198.05,1,pre
36.0,200.75,1,pre
37.0,203.9,1,pre
38.0,204.8,1,pre
39.0,208.4,1,pre
40.0,210.65,1,pre
41.0,212.9,1,pre
42.0,214.7,1,pre
43.0,215.6,1,pre
44.0,217.85,1,pre
45.0,219.65,1,pre
46.0,220.55,1,pre
47.0,221.45,1,pre
48.0,222.8,1,pre
49.0,222.8,1,pre
50.0,223.7,1,pre
51.0,225.05,1,pre
52.0,225.05,1,pre
53.0,225.05,1,pre
54.0,226.4,1,pre
55.0,227.3,1,pre
56.1,226.85,1,pre
57.1,229.1,1,pre
58.1,228.65,1,pre
59.1,229.55,1,pre
60.1,228.65,1,pre
61.1,230.0,1,pre
62.1,229.55,1,pre
63.1,230.0,1,pre
64.1,230.9,1,pre
65.1,229.1,1,pre
66.1,229.55,1,pre
67.1,230.0,1,pre
68.1,229.1,1,pre
69.1,229.55,1,pre
70.1,230.0,1,pre
71.1,230.45,1,pre
72.1,230.45,1,pre
73.1,231.8,1,pre
74.1,232.25,1,pre
75.1,234.05,1,pre
76.1,234.05,1,pre
77.1,235.85,1,pre
0.2,237.2,1,dry
1.2,237.65,1,dry
2.2,238.1,1,dry
3.2,241.7,1,dry
4.2,245.3,1,dry
5.2,249.35,1,dry
6.2,254.75,1,dry
7.2,260.15,1,dry
8.2,263.3,1,dry
9.2,268.7,1,dry
10.2,273.2,1,dry
11.2,276.8,1,dry
12.2,281.3,1,dry
13.2,285.35,1,dry
14.2,288.05,1,dry
15.2,292.1,1,dry
16.2,294.8,1,dry
17.2,297.95,1,dry
18.2,300.2,1,dry
19.2,301.1,1,dry
20.2,305.15,1,dry
21.2,305.6,1,dry
22.2,306.95,1,dry
23.2,310.1,1,dry
24.2,311.9,1,dry
25.2,313.25,1,dry
26.2,314.6,1,dry
27.2,316.85,1,dry
28.2,319.55,1,dry
29.2,320.45,1,dry
30.2,323.15,1,dry
31.2,326.75,1,dry
32.2,329.9,1,dry
33.2,332.15,1,dry
34.2,335.3,1,dry
35.2,337.1,1,dry
36.2,339.35,1,dry
37.2,341.15,1,dry
38.2,342.5,1,dry
39.2,344.75,1,dry
40.2,347.45,1,dry
41.2,349.7,1,dry
42.2,351.95,1,dry
43.2,355.1,1,dry
44.2,357.35,1,dry
45.2,359.15,1,dry
46.2,362.3,1,dry
47.2,364.1,1,dry
48.2,367.25,1,dry
49.2,369.5,1,dry
50.2,370.4,0,dry
51.2,371.75,0,dry
52.2,374.0,0,dry
53.2,373.1,0,dry
54.2,372.65,0,dry
55.2,369.05,1,dry
56.2,365.45,1,dry
57.2,360.5,1,dry
58.2,356.0,1,dry
59.2,351.5,1,dry
60.2,349.7,1,dry
61.2,347.9,1,dry
62.2,347.0,1,dry
63.2,346.1,1,dry
64.2,346.55,1,dry
65.2,347.9,1,dry
66.2,349.25,1,dry
67.2,352.4,1,dry
68.2,354.2,1,dry
69.2,356.0,1,dry
70.2,357.35,1,dry
71.2,359.6,1,dry
72.2,360.05,1,dry
73.2,362.75,1,dry
74.2,363.2,1,dry
75.2,365.45,1,dry
76.2,367.25,1,dry
77.2,369.5,1,dry
78.2,373.1,0,dry
79.2,375.35,0,dry
80.2,376.25,0,dry
81.2,378.05,0,dry
82.2,377.15,0,dry
83.2,374.9,0,dry
84.2,371.3,0,dry
85.2,366.35,1,dry
86.2,361.85,1,dry
87.2,355.55,1,dry
88.2,350.15,1,dry
89.2,347.0,1,dry
90.2,344.3,1,dry
91.2,342.05,1,dry
92.2,341.15,1,dry
93.2,342.05,1,dry
94.2,341.6,1,dry
95.2,343.85,1,dry
96.2,342.05,1,dry
97.2,347.0,1,dry
98.2,348.8,1,dry
99.2,351.05,1,dry
100.2,353.3,1,dry
101.2,354.65,1,dry
102.2,357.8,1,dry
103.2,360.05,1,dry
104.2,363.2,1,dry
105.2,365.45,1,dry
106.2,368.15,1,dry
107.2,369.95,1,dry
108.2,373.1,0,dry
109.2,374.9,0,dry
110.2,376.25,0,dry
111.2,376.25,0,dry
112.2,376.25,0,dry
113.2,373.55,0,dry
114.2,369.05,1,dry
115.2,366.35,1,dry
116.2,361.85,1,dry
117.2,357.8,1,dry
118.2,354.2,1,dry
119.2,351.95,1,dry
120.2,351.05,1,dry
121.2,350.6,1,brown
122.2,349.7,1,brown
123.2,352.4,1,brown
124.2,353.3,1,brown
125.2,356.9,1,brown
126.2,360.05,1,brown
127.2,362.75,1,brown
128.2,366.8,1,brown
129.2,369.95,1,brown
130.2,373.55,1,brown
131.2,377.15,1,brown
132.2,379.85,1,brown
133.2,384.35,1,brown
134.2,387.05,1,brown
135.2,390.2,1,brown
136.2,392.45,1,brown
137.2,396.5,1,brown
138.2,398.3,1,brown
139.2,401.0,0,brown
140.2,403.25,0,brown
141.2,405.05,0,brown
142.2,405.5,0,brown
143.2,404.15,0,brown
144.2,400.1,0,brown
145.2,396.05,1,brown
146.2,389.3,1,brown
147.2,384.35,1,brown
148.2,378.05,1,brown
149.2,373.1,1,brown
150.2,370.4,1,brown
151.2,367.7,1,brown
152.2,366.35,1,brown
153.2,366.8,1,brown
154.2,368.15,1,brown
155.2,369.5,1,brown
156.2,371.3,1,brown
157.2,373.55,1,brown
158.2,378.05,1,brown
159.2,379.85,1,brown
160.2,383.0,1,brown
161.2,384.8,1,brown
162.2,388.4,1,brown
163.2,391.55,1,brown
164.2,394.7,1,brown
165.2,396.95,1,brown
166.2,399.65,1,brown
167.2,401.9,0,brown
168.2,403.7,0,brown
169.2,405.95,0,brown
170.2,405.05,0,brown
171.2,405.05,0,brown
172.2,401.9,0,brown
173.2,397.4,1,brown
174.2,390.65,1,brown
175.2,385.25,1,brown
176.2,380.75,1,brown
177.2,375.35,1,brown
178.2,372.2,1,brown
179.2,369.95,1,brown
180.2,369.05,1,brown
181.2,369.95,1,brown
182.2,370.85,1,brown
183.2,372.2,1,brown
184.2,374.9,1,brown
185.2,376.7,1,brown
186.2,379.85,1,brown
187.2,382.55,1,brown
188.3,386.6,1,brown
189.3,389.3,1,brown
190.3,392.9,1,brown
191.3,394.7,1,brown
192.3,398.3,1,brown
193.3,400.55,0,brown
194.3,401.9,0,brown
195.3,405.5,0,brown
196.3,405.5,0,brown
197.3,403.7,0,brown
198.3,401.9,0,brown
199.3,396.95,1,brown
200.3,392.0,1,brown
201.3,385.25,1,brown
202.3,379.85,1,brown
203.3,375.8,1,brown
204.3,372.2,1,brown
205.3,370.4,1,brown
206.3,369.95,1,brown
207.3,369.5,1,brown
208.3,371.75,1,brown
209.3,373.1,1,brown
210.3,375.8,1,brown
211.3,378.5,1,brown
212.3,380.75,1,brown
213.3,383.9,1,brown
214.3,387.05,1,brown
215.3,390.65,1,brown
216.3,393.8,1,brown
217.3,396.5,1,brown
218.3,398.75,1,brown
219.3,401.0,0,brown
220.3,405.05,0,brown
221.3,406.4,0,brown
222.3,407.3,0,brown
223.3,405.95,0,brown
224.3,403.7,0,brown
225.3,398.75,1,brown
226.3,392.45,1,brown
227.3,386.6,1,brown
228.3,381.65,1,brown
229.3,376.25,1,brown
230.3,373.55,1,brown
231.3,372.2,1,brown
232.3,370.85,1,brown
233.3,371.75,1,brown
234.3,372.65,1,brown
235.3,374.45,1,brown
236.3,376.7,1,brown
237.3,378.95,1,brown
238.3,382.1,1,brown
239.3,385.25,1,brown
240.3,388.85,1,brown
241.3,391.55,1,dev
242.3,394.7,1,dev
243.3,398.75,1,dev
244.3,401.9,1,dev
245.3,404.6,1,dev
246.3,407.3,1,dev
247.3,410.0,1,dev
248.3,411.8,1,dev
249.3,414.95,1,dev
250.3,417.65,1,dev
251.3,419.9,1,dev
252.3,421.7,1,dev
253.3,423.95,1,dev
254.3,424.85,1,dev
255.3,427.55,1,dev
256.3,428.9,1,dev
257.3,430.7,1,dev
258.3,431.6,1,dev
259.3,433.4,1,dev
260.3,434.75,1,dev
261.3,435.2,1,dev
262.3,436.1,1,dev
263.3,436.1,1,dev
264.3,438.35,1,dev
265.3,439.25,1,dev
