time_s,temp_F,heat_on,stage
0.0,162.05,1,pre
1.0,162.05,1,pre
2.0,161.15,1,pre
3.0,162.05,1,pre
4.0,162.5,1,pre
5.0,162.95,1,pre
6.0,163.4,1,pre
7.0,164.3,1,pre
8.0,164.75,1,pre
9.0,167.45,1,pre
10.0,170.15,1,pre
11.0,171.95,1,pre
12.0,175.55,1,pre
13.0,178.7,1,pre
14.0,180.95,1,pre
15.0,185.9,1,pre
16.0,189.95,1,pre
17.0,192.65,1,pre
18.0,197.15,1,pre
19.0,200.75,1,pre
20.0,204.35,1,pre
21.0,207.95,1,pre
22.0,210.65,1,pre
23.0,213.35,1,pre
24.0,216.05,1,pre
25.0,218.3,1,pre
26.0,221.0,1,pre
27.0,222.8,1,pre
28.0,224.6,1,pre
29.0,227.3,1,pre
30.0,228.65,1,pre
31.0,230.0,1,pre
32.0,232.25,1,pre
33.0,235.85,1,pre
34.0,237.65,1,pre
35.0,242.15,1,pre
36.0,243.95,1,pre
37.0,248.0,1,pre
38.0,250.7,1,pre
39.0,253.4,1,pre
40.0,256.55,1,pre
41.0,258.8,1,pre
42.0,261.05,1,pre
43.0,262.4,1,pre
44.0,261.95,1,pre
45.0,262.4,1,pre
46.0,262.85,1,pre
47.0,263.75,1,pre
48.0,265.1,1,pre
49.0,265.1,1,pre
50.0,263.75,1,pre
51.0,263.3,1,pre
52.0,263.3,1,pre
53.0,263.3,1,pre
54.0,263.75,1,pre
55.0,263.3,1,pre
56.0,261.95,1,pre
57.0,262.4,1,pre
58.0,262.85,1,pre
59.0,261.5,1,pre
60.0,261.95,1,pre
61.0,261.05,1,pre
62.0,260.15,1,pre
63.0,260.15,1,pre
64.0,261.05,1,pre
65.0,260.6,1,pre
66.0,261.05,1,pre
67.0,262.4,1,pre
68.0,261.95,1,pre
69.0,263.75,1,pre
70.0,263.3,1,pre
71.0,264.2,1,pre
0.0,265.1,1,dry
1.0,265.55,1,dry
2.0,267.8,1,dry
3.0,270.05,1,dry
4.0,274.1,1,dry
5.0,278.15,1,dry
6.0,282.65,1,dry
7.0,286.25,1,dry
8.0,290.3,1,dry
9.0,295.25,1,dry
10.0,300.2,1,dry
11.0,304.7,1,dry
12.0,308.75,1,dry
13.0,311.9,1,dry
14.0,315.05,1,dry
15.0,318.65,1,dry
16.0,321.35,1,dry
17.0,324.5,1,dry
18.1,326.75,1,dry
19.1,330.35,1,dry
20.1,333.5,1,dry
21.1,336.2,1,dry
22.1,339.35,1,dry
23.1,343.85,1,dry
24.1,347.9,1,dry
25.1,350.15,1,dry
26.1,354.2,1,dry
27.1,356.45,1,dry
28.1,359.6,1,dry
29.1,361.85,1,dry
30.1,363.65,1,dry
31.1,365.0,1,dry
32.1,367.25,1,dry
33.1,367.7,1,dry
34.1,368.6,1,dry
35.1,369.95,1,dry
36.1,369.5,1,dry
37.1,370.85,0,dry
38.1,372.2,0,dry
39.1,373.55,0,dry
40.1,374.45,0,dry
41.1,374.0,0,dry
42.1,371.3,0,dry
43.1,367.7,1,dry
44.1,362.75,1,dry
45.1,357.8,1,dry
46.1,352.4,1,dry
47.1,348.8,1,dry
48.1,346.1,1,dry
49.1,342.5,1,dry
50.1,341.6,1,dry
51.1,340.7,1,dry
52.1,340.7,1,dry
53.1,341.15,1,dry
54.1,343.85,1,dry
55.1,346.1,1,dry
56.1,348.35,1,dry
57.1,351.05,1,dry
58.1,353.75,1,dry
59.1,356.0,1,dry
60.1,360.05,1,dry
61.1,362.3,1,dry
62.1,365.45,1,dry
63.1,367.7,1,dry
64.1,371.3,0,dry
65.1,372.65,0,dry
66.1,374.9,0,dry
67.1,376.25,0,dry
68.1,375.35,0,dry
69.1,373.55,0,dry
70.1,371.75,0,dry
71.1,367.25,1,dry
72.1,362.3,1,dry
73.1,357.8,1,dry
74.1,351.5,1,dry
75.1,348.35,1,dry
76.1,345.65,1,dry
77.1,344.3,1,dry
78.1,344.3,1,dry
79.1,344.75,1,dry
80.1,347.45,1,dry
81.1,350.15,1,dry
82.1,351.95,1,dry
83.1,356.45,1,dry
84.1,360.05,1,dry
85.1,363.2,1,dry
86.1,366.8,1,dry
87.1,370.85,0,dry
88.1,373.55,0,dry
89.1,376.7,0,dry
90.1,377.6,0,dry
91.1,379.4,0,dry
92.1,377.15,0,dry
93.1,374.45,0,dry
94.1,370.4,0,dry
95.1,364.1,1,dry
96.1,359.15,1,dry
97.1,353.3,1,dry
98.1,347.9,1,dry
99.1,343.4,1,dry
100.1,341.15,1,dry
101.1,339.8,1,dry
102.1,340.7,1,dry
103.1,341.15,1,dry
104.1,342.05,1,dry
105.1,345.65,1,dry
106.1,349.25,1,dry
107.1,352.85,1,dry
108.1,356.45,1,dry
109.1,361.4,1,dry
110.1,365.0,1,dry
111.1,369.5,1,dry
112.1,372.65,0,dry
113.1,375.8,0,dry
114.1,380.3,0,dry
115.1,382.1,0,dry
116.1,382.55,0,dry
117.1,380.75,0,dry
118.1,378.5,0,dry
119.1,374.0,0,dry
120.1,368.6,1,dry
121.1,362.75,1,brown
122.1,356.9,1,brown
123.1,350.6,1,brown
124.1,346.55,1,brown
125.1,343.85,1,brown
126.1,342.95,1,brown
127.1,342.05,1,brown
128.1,343.85,1,brown
129.1,344.75,1,brown
130.1,347.9,1,brown
131.1,351.5,1,brown
132.1,354.2,1,brown
133.1,358.7,1,brown
134.1,362.3,1,brown
135.1,366.8,1,brown
136.1,371.3,1,brown
137.1,374.0,1,brown
138.1,379.4,1,brown
139.1,383.9,1,brown
140.1,386.6,1,brown
141.1,389.75,1,brown
142.1,393.8,1,brown
143.1,396.05,1,brown
144.1,400.1,0,brown
145.1,402.8,0,brown
146.1,404.15,0,brown
147.1,404.15,0,brown
148.1,403.25,0,brown
149.1,401.9,0,brown
150.1,396.05,1,brown
151.1,389.75,1,brown
152.1,384.8,1,brown
153.1,380.75,1,brown
154.1,376.25,1,brown
155.1,372.65,1,brown
156.1,369.05,1,brown
157.1,368.6,1,brown
158.1,367.25,1,brown
159.1,370.4,1,brown
160.1,370.85,1,brown
161.1,373.55,1,brown
162.1,376.25,1,brown
163.1,378.5,1,brown
164.1,381.65,1,brown
165.1,384.8,1,brown
166.1,387.95,1,brown
167.1,390.65,1,brown
168.1,394.25,1,brown
169.1,397.4,1,brown
170.1,400.55,0,brown
171.1,403.25,0,brown
172.1,404.6,0,brown
173.1,406.4,0,brown
174.1,405.05,0,brown
175.1,402.35,0,brown
176.1,398.3,1,brown
177.1,392.0,1,brown
178.1,386.6,1,brown
179.1,381.65,1,brown
